SAV,APSKRITIS,EK_2016,EK_2025,EK_2026_projected,EK_delta_2016_2025,EK_2025_coverage,SO_EK_2016,SO_EK_2025,SO_EK_2026_projected,SO_EK_delta_2016_2025,SO_EK_2025_coverage,SO_2016,SO_2025,SO_2026_projected,SO_delta_2016_2025,SO_2025_coverage,SO_AP_2016,SO_AP_2025,SO_AP_2026_projected,SO_AP_delta_2016_2025,SO_AP_2025_coverage,AP_2016,AP_2025,AP_2026_projected,AP_delta_2016_2025,AP_2025_coverage,EK_AP_2016,EK_AP_2025,EK_AP_2026_projected,EK_AP_delta_2016_2025,EK_AP_2025_coverage,VID_2016,VID_2025,VID_2026_projected,VID_delta_2016_2025
Šakių r. sav.,Marijampolės,1.3,,1.4,,0/13,1.46,,1.46,,0/14,1.87,,1.8,,0/15,1.8,,1.6,,0/8,1.42,,1.25,,0/11,1.5,,1.5,,0/4,1.5583333333333333,,1.5016666666666667,
Vilkaviškio r. sav.,Marijampolės,1.2,,1.3,,0/13,1.69,,1.77,,0/14,1.93,,1.87,,0/15,1.8,,1.8,,0/8,1.5,,1.5,,0/11,1.5,,1.5,,0/4,1.6033333333333333,,1.6233333333333333,
Biržų r. sav.,Panevėžio,1.2,,1.2,,0/13,1.31,,1.31,,0/14,1.73,,1.73,,0/15,1.4,,1.4,,0/8,1.75,,1.75,,0/11,1.75,,1.75,,0/4,1.5233333333333334,,1.5233333333333334,
Kupiškio r. sav.,Panevėžio,1.2,,1.0,,0/13,1.54,,1.38,,0/14,1.6,,1.47,,0/15,1.8,,1.8,,0/8,1.42,,1.5,,0/11,1.5,,1.75,,0/4,1.51,,1.4833333333333334,
Panevėžio m. sav.,Panevėžio,2.2,,2.0,,0/13,2.54,,2.54,,0/14,1.86,,1.93,,0/15,2.2,,2.2,,0/8,1.55,,1.73,,0/11,1.75,,2.25,,0/4,2.0166666666666666,,2.1083333333333334,
Panevėžio r. sav.,Panevėžio,1.6,,1.8,,0/13,1.92,,2.0,,0/14,1.8,,1.8,,0/15,2.5,,2.25,,0/8,2.1,,1.8,,0/11,2.67,,2.0,,0/4,2.098333333333333,,1.9416666666666667,
Pasvalio r. sav.,Panevėžio,1.2,,1.5,,0/13,1.54,,1.69,,0/14,1.6,,1.67,,0/15,1.8,,1.8,,0/8,1.25,,1.25,,0/11,1.5,,1.5,,0/4,1.4816666666666667,,1.5683333333333334,
Rokiškio r. sav.,Panevėžio,1.3,,1.6,,0/13,1.69,,1.69,,0/14,1.67,,1.73,,0/15,1.8,,1.8,,0/8,1.5,,1.58,,0/11,1.5,,1.75,,0/4,1.5766666666666669,,1.6916666666666667,
Akmenės r. sav.,Šiaulių,1.6,,1.8,,0/13,1.73,,1.73,,0/14,1.93,,1.93,,0/15,1.33,,1.33,,0/8,1.5,,1.5,,0/11,1.25,,1.25,,0/4,1.5566666666666666,,1.59,
Joniškio r. sav.,Šiaulių,1.3,,1.4,,0/13,1.46,,1.54,,0/14,1.93,,1.79,,0/15,1.8,,1.6,,0/8,1.64,,1.36,,0/11,1.75,,1.5,,0/4,1.6466666666666665,,1.531666666666667,
Kelmės r. sav.,Šiaulių,1.1,,1.1,,0/13,1.46,,1.46,,0/14,1.87,,1.73,,0/15,2.0,,1.8,,0/8,1.67,,1.5,,0/11,1.5,,1.5,,0/4,1.6000000000000003,,1.515,
Pakruojo r. sav.,Šiaulių,1.2,,1.4,,0/13,1.62,,1.62,,0/14,1.86,,1.71,,0/15,2.0,,1.8,,0/8,1.55,,1.45,,0/11,1.5,,1.5,,0/4,1.6216666666666668,,1.58,
Radviliškio r. sav.,Šiaulių,1.3,,1.5,,0/13,1.85,,1.85,,0/14,1.87,,1.8,,0/15,2.0,,2.0,,0/8,1.5,,1.5,,0/11,1.75,,1.75,,0/4,1.7116666666666667,,1.7333333333333334,
Šiaulių m. sav.,Šiaulių,2.1,,2.1,,0/13,2.54,,2.69,,0/14,1.93,,2.7,,0/15,2.4,,2.2,,0/8,1.91,,2.0,,0/11,2.0,,2.5,,0/4,2.146666666666667,,2.365,
Šiaulių r. sav.,Šiaulių,1.7,,1.7,,0/13,1.77,,1.69,,0/14,2.13,,2.0,,0/15,1.6,,1.4,,0/8,2.0,,1.83,,0/11,2.5,,2.25,,0/4,1.95,,1.8116666666666665,
Jurbarko r. sav.,Tauragės,1.0,,1.2,,0/13,1.31,,1.38,,0/14,1.93,,2.0,,0/15,1.8,,1.8,,0/8,1.58,,1.67,,0/11,1.5,,1.75,,0/4,1.5200000000000002,,1.6333333333333335,
Pagėgių sav.,Tauragės,1.4,,1.5,,0/13,1.33,,1.42,,0/14,2.0,,2.0,,0/15,2.0,,1.75,,0/8,1.9,,1.6,,0/11,2.0,,1.67,,0/4,1.7716666666666667,,1.6566666666666665,
Šilalės r. sav.,Tauragės,1.4,,1.5,,0/13,1.62,,1.62,,0/14,2.27,,2.2,,0/15,2.0,,2.0,,0/8,1.75,,1.67,,0/11,1.75,,1.5,,0/4,1.7983333333333331,,1.748333333333333,
Tauragės r. sav.,Tauragės,1.3,,1.7,,0/13,1.46,,1.62,,0/14,2.0,,2.0,,0/15,1.8,,1.6,,0/8,2.0,,1.92,,0/11,1.75,,1.75,,0/4,1.718333333333333,,1.765,
Mažeikių r. sav.,Telšių,2.1,,2.2,,0/13,1.92,,2.0,,0/14,2.0,,2.0,,0/15,2.0,,2.0,,0/8,1.42,,1.5,,0/11,1.5,,1.5,,0/4,1.8233333333333333,,1.8666666666666665,
Plungės r. sav.,Telšių,1.6,,1.8,,0/13,1.92,,1.92,,0/14,2.33,,2.33,,0/15,2.0,,2.0,,0/8,1.92,,1.92,,0/11,1.75,,1.75,,0/4,1.92,,1.9533333333333334,
Rietavo sav.,Telšių,1.4,,1.6,,0/13,1.5,,1.6,,0/14,1.93,,2.13,,0/15,1.0,,1.5,,0/8,1.9,,2.0,,0/11,2.0,,2.0,,0/4,1.6216666666666668,,1.8049999999999997,
Telšių r. sav.,Telšių,1.3,,1.3,,0/13,1.77,,1.85,,0/14,2.13,,2.7,,0/15,2.2,,2.0,,0/8,1.83,,1.92,,0/11,1.5,,1.75,,0/4,1.7883333333333333,,1.92,
Anykščių r. sav.,Utenos,1.2,,1.1,,0/13,1.46,,1.31,,0/14,1.93,,1.73,,0/15,1.6,,1.4,,0/8,1.75,,1.67,,0/11,1.5,,1.5,,0/4,1.5733333333333333,,1.4516666666666669,
Ignalinos r. sav.,Utenos,1.1,,1.2,,0/13,1.46,,1.54,,0/14,1.87,,1.87,,0/15,2.2,,2.0,,0/8,1.83,,1.75,,0/11,1.75,,1.75,,0/4,1.7016666666666669,,1.6849999999999998,
Molėtų r. sav.,Utenos,1.5,,1.4,,0/13,1.77,,1.54,,0/14,2.07,,1.8,,0/15,2.2,,2.0,,0/8,2.0,,1.83,,0/11,2.0,,1.75,,0/4,1.9233333333333336,,1.72,
Utenos r. sav.,Utenos,2.0,,1.9,,0/13,2.08,,2.08,,0/14,2.13,,2.0,,0/15,2.4,,2.4,,0/8,1.83,,1.92,,0/11,1.75,,2.0,,0/4,2.0316666666666667,,2.0500000000000003,
Visagino sav.,Utenos,1.8,,1.5,,0/13,2.31,,2.15,,0/14,2.13,,2.7,,0/15,2.6,,3.0,,0/8,2.33,,2.58,,0/11,2.25,,2.75,,0/4,2.236666666666667,,2.4466666666666668,
Zarasų r. sav.,Utenos,1.2,,1.2,,0/13,1.46,,1.38,,0/14,1.93,,1.8,,0/15,2.2,,2.0,,0/8,1.92,,1.83,,0/11,1.75,,1.75,,0/4,1.7433333333333334,,1.6600000000000001,
Elektrėnų sav.,Vilniaus,2.4,,2.5,,0/13,2.27,,2.18,,0/14,1.87,,1.87,,0/15,1.67,,1.67,,0/8,1.58,,1.67,,0/11,2.25,,2.5,,0/4,2.0066666666666664,,2.065,
Šalčininkų r. sav.,Vilniaus,1.4,,1.3,,0/13,1.77,,1.69,,0/14,2.4,,2.27,,0/15,2.2,,2.2,,0/8,2.17,,2.17,,0/11,1.75,,1.75,,0/4,1.9483333333333333,,1.8966666666666665,
Širvintų r. sav.,Vilniaus,1.7,,1.6,,0/13,1.92,,1.77,,0/14,2.13,,2.0,,0/15,2.0,,1.8,,0/8,1.75,,1.58,,0/11,2.0,,1.75,,0/4,1.9166666666666667,,1.75,
Švenčionių r. sav.,Vilniaus,1.6,,1.8,,0/13,1.85,,1.92,,0/14,2.27,,2.27,,0/15,2.2,,2.2,,0/8,2.33,,2.25,,0/11,2.0,,1.75,,0/4,2.0416666666666665,,2.0316666666666667,
Trakų r. sav.,Vilniaus,1.9,,1.8,,0/13,2.15,,2.0,,0/14,2.6,,2.4,,0/15,2.0,,1.8,,0/8,2.25,,2.08,,0/11,2.25,,2.0,,0/4,2.191666666666667,,2.013333333333333,
Ukmergės r. sav.,Vilniaus,1.3,,1.6,,0/13,1.85,,1.92,,0/14,2.0,,2.7,,0/15,2.2,,2.2,,0/8,1.83,,1.83,,0/11,1.75,,1.75,,0/4,1.8216666666666665,,2.0,
Vilniaus m. sav.,Vilniaus,2.8,,2.4,,0/13,2.85,,2.77,,0/14,2.5,,2.29,,0/15,2.8,,2.6,,0/8,2.27,,2.36,,0/11,2.25,,2.75,,0/4,2.578333333333333,,2.528333333333333,
Vilniaus r. sav.,Vilniaus,2.0,,2.0,,0/13,2.23,,2.23,,0/14,2.33,,2.2,,0/15,2.2,,2.0,,0/8,2.8,,1.83,,0/11,2.5,,2.0,,0/4,2.3433333333333333,,2.0433333333333334,
