SAV,INDICATOR_CODE,value_2016,value_2025,year_2025,index_2016,index_2025
Klaipėdos m. sav.,VTD,33.00,,,1.0,
Klaipėdos m. sav.,OIT,"2,959.69",,,1.0,
Klaipėdos m. sav.,EDD,,,,,
Klaipėdos m. sav.,NDU,633.6,,,3.0,
Klaipėdos m. sav.,TUI,5.5,,,3.0,
Klaipėdos m. sav.,MIG,3.4,,,3.0,
Klaipėdos m. sav.,PVG,9.0,,,3.0,
Klaipėdos m. sav.,UGD,49.8,,,3.0,
Klaipėdos m. sav.,NM,-0.02,,,1.0,
Klaipėdos m. sav.,SLD,3.8,,,1.0,
Klaipėdos m. sav.,DAG,61.0,,,2.0,
Klaipėdos m. sav.,PAG,22.0,,,2.0,
Klaipėdos m. sav.,USS,6.9,,,3.0,
Klaipėdos m. sav.,GSM,-20.02,,,2.0,
Klaipėdos m. sav.,GSK,,,,,
Klaipėdos m. sav.,KGD,,,,,
Klaipėdos m. sav.,M,20.0,,,1.0,
Klaipėdos m. sav.,ZNP,18.0,,,1.0,
Klaipėdos m. sav.,RIP,8.06,,,3.0,
Klaipėdos m. sav.,NII,0.0,,,1.0,
Klaipėdos m. sav.,INI,,,,,
Klaipėdos m. sav.,PVI,124.1,,,3.0,
Klaipėdos m. sav.,KNI,0.00,,,1.0,
Klaipėdos m. sav.,NG,,,,,
Klaipėdos m. sav.,PVA,28.8,,,3.0,
Klaipėdos m. sav.,STP,10.0,,,3.0,
Klaipėdos m. sav.,KPO,88.6,,,3.0,
Klaipėdos r. sav.,NL,6.0,,,3.0,
Klaipėdos r. sav.,IBD,3.3,,,3.0,
Klaipėdos r. sav.,LLS,29.1,,,2.0,
Klaipėdos r. sav.,MPM,12.4,,,2.0,
Klaipėdos r. sav.,MMA,76.2,,,2.0,
Klaipėdos r. sav.,EIS,1.4,,,2.0,
Klaipėdos r. sav.,VTP,37.6,,,2.0,
Klaipėdos r. sav.,KGP,11.0,,,1.0,
Klaipėdos r. sav.,OUP,0.03,,,3.0,
Klaipėdos r. sav.,KPD,37.0,,,2.0,
Klaipėdos r. sav.,GVT,91.0,,,3.0,
Klaipėdos r. sav.,VBN,87.0,,,3.0,
Klaipėdos r. sav.,CTS,31.0,,,2.0,
Klaipėdos r. sav.,NZP,47.0,,,1.0,
Klaipėdos r. sav.,VTD,70.00,,,3.0,
Klaipėdos r. sav.,OIT,"1,189.26",,,2.0,
Klaipėdos r. sav.,EDD,1.5,,,2.0,
Klaipėdos r. sav.,NDU,555.0,,,2.0,
Klaipėdos r. sav.,TUI,3.5,,,2.0,
Klaipėdos r. sav.,MIG,4.6,,,3.0,
Klaipėdos r. sav.,PVG,5.1,,,2.0,
Klaipėdos r. sav.,UGD,46.0,,,2.0,
Klaipėdos r. sav.,NM,0.02,,,3.0,
Klaipėdos r. sav.,SLD,22.7,,,3.0,
Klaipėdos r. sav.,DAG,64.0,,,2.0,
Klaipėdos r. sav.,PAG,18.0,,,3.0,
Klaipėdos r. sav.,USS,4.6,,,2.0,
Klaipėdos r. sav.,GSM,-4.89,,,3.0,
Klaipėdos r. sav.,GSK,27.6,,,3.0,
Klaipėdos r. sav.,KGD,4.03,,,3.0,
Klaipėdos r. sav.,M,26.0,,,2.0,
Klaipėdos r. sav.,ZNP,52.0,,,3.0,
Klaipėdos r. sav.,RIP,8.84,,,3.0,
Klaipėdos r. sav.,NII,105.0,,,2.0,
Klaipėdos r. sav.,INI,14.5,,,3.0,
Klaipėdos r. sav.,PVI,15.1,,,1.0,
Klaipėdos r. sav.,KNI,"1,068.00",,,3.0,
Klaipėdos r. sav.,NG,28.0,,,3.0,
Klaipėdos r. sav.,PVA,4.3,,,1.0,
Klaipėdos r. sav.,STP,20.0,,,3.0,
Klaipėdos r. sav.,KPO,10.9,,,3.0,
Kretingos r. sav.,NL,4.9,,,3.0,
Kretingos r. sav.,IBD,12.8,,,3.0,
Kretingos r. sav.,LLS,50.6,,,3.0,
Kretingos r. sav.,MPM,13.3,,,3.0,
Kretingos r. sav.,MMA,72.0,,,2.0,
Kretingos r. sav.,EIS,1.1,,,3.0,
Kretingos r. sav.,VTP,34.2,,,2.0,
Kretingos r. sav.,KGP,17.0,,,2.0,
Kretingos r. sav.,OUP,0.01,,,3.0,
Kretingos r. sav.,KPD,31.0,,,1.0,
Kretingos r. sav.,GVT,27.0,,,1.0,
Kretingos r. sav.,VBN,23.0,,,1.0,
Kretingos r. sav.,CTS,,,,,
Kretingos r. sav.,NZP,44.0,,,1.0,
Kretingos r. sav.,VTD,57.00,,,2.0,
Kretingos r. sav.,OIT,130.04,,,3.0,
Kretingos r. sav.,EDD,1.8,,,2.0,
Kretingos r. sav.,NDU,489.0,,,1.0,
Kretingos r. sav.,TUI,0.3,,,1.0,
Kretingos r. sav.,MIG,1.0,,,1.0,
Kretingos r. sav.,PVG,2.5,,,1.0,
Kretingos r. sav.,UGD,54.2,,,3.0,
Kretingos r. sav.,NM,-0.01,,,2.0,
Kretingos r. sav.,SLD,7.9,,,3.0,
Kretingos r. sav.,DAG,61.0,,,2.0,
Kretingos r. sav.,PAG,22.0,,,2.0,
Kretingos r. sav.,USS,3.8,,,2.0,
Kretingos r. sav.,GSM,-15.32,,,2.0,
Kretingos r. sav.,GSK,-13.0,,,2.0,
Kretingos r. sav.,KGD,13.54,,,2.0,
Kretingos r. sav.,M,35.0,,,2.0,
Kretingos r. sav.,ZNP,56.0,,,3.0,
Kretingos r. sav.,RIP,4.87,,,1.0,
Kretingos r. sav.,NII,5.0,,,1.0,
Kretingos r. sav.,INI,9.2,,,2.0,
Kretingos r. sav.,PVI,13.9,,,1.0,
Kretingos r. sav.,KNI,60.00,,,1.0,
Kretingos r. sav.,NG,27.0,,,3.0,
Kretingos r. sav.,PVA,3.3,,,1.0,
Kretingos r. sav.,STP,15.0,,,3.0,
Kretingos r. sav.,KPO,14.9,,,3.0,
Neringos sav.,NL,5.3,,,3.0,
Neringos sav.,IBD,48.0,,,1.0,
Neringos sav.,LLS,32.3,,,2.0,
Neringos sav.,MPM,34.5,,,1.0,
Neringos sav.,MMA,74.0,,,2.0,
Neringos sav.,EIS,1.0,,,3.0,
Neringos sav.,VTP,23.3,,,1.0,
Neringos sav.,KGP,4.0,,,1.0,
Neringos sav.,OUP,0.06,,,2.0,
Neringos sav.,KPD,95.0,,,3.0,
Neringos sav.,GVT,97.0,,,3.0,
Neringos sav.,VBN,99.0,,,3.0,
Neringos sav.,CTS,,,,,
Neringos sav.,NZP,98.0,,,3.0,
Neringos sav.,VTD,-,,,3.0,
Neringos sav.,OIT,53.88,,,3.0,
Neringos sav.,EDD,,,,,
Neringos sav.,NDU,506.0,,,1.0,
Neringos sav.,TUI,2.8,,,2.0,
Neringos sav.,MIG,2.0,,,2.0,
Neringos sav.,PVG,6.7,,,3.0,
Neringos sav.,UGD,72.8,,,3.0,
Neringos sav.,NM,0.02,,,3.0,
Neringos sav.,SLD,24.8,,,3.0,
Neringos sav.,DAG,68.0,,,3.0,
Neringos sav.,PAG,17.0,,,3.0,
Neringos sav.,USS,11.0,,,3.0,
Neringos sav.,GSM,26.57,,,3.0,
Neringos sav.,GSK,,,,,
Neringos sav.,KGD,,,,,
Neringos sav.,M,83.0,,,3.0,
Neringos sav.,ZNP,0.0,,,1.0,
Neringos sav.,RIP,10.11,,,3.0,
Neringos sav.,NII,0.0,,,1.0,
Neringos sav.,INI,,,,,
Neringos sav.,PVI,3.7,,,1.0,
Neringos sav.,KNI,0.00,,,1.0,
Neringos sav.,NG,,,,,
Neringos sav.,PVA,0.2,,,1.0,
Neringos sav.,STP,100.0,,,1.0,
Neringos sav.,KPO,48.0,,,3.0,
Palangos m. sav.,NL,8.0,,,3.0,
Palangos m. sav.,IBD,16.4,,,3.0,
Palangos m. sav.,LLS,204.0,,,1.0,
Palangos m. sav.,MPM,15.2,,,3.0,
Palangos m. sav.,MMA,71.9,,,2.0,
Palangos m. sav.,EIS,1.5,,,2.0,
Palangos m. sav.,VTP,59.2,,,3.0,
Palangos m. sav.,KGP,0.0,,,1.0,
Palangos m. sav.,OUP,0.01,,,3.0,
Palangos m. sav.,KPD,43.0,,,2.0,
Palangos m. sav.,GVT,96.0,,,3.0,
Palangos m. sav.,VBN,95.0,,,3.0,
Palangos m. sav.,CTS,,,,,
Palangos m. sav.,NZP,67.0,,,2.0,
Palangos m. sav.,VTD,23.00,,,1.0,
Palangos m. sav.,OIT,272.52,,,3.0,
Palangos m. sav.,EDD,,,,,
Palangos m. sav.,NDU,467.0,,,1.0,
Palangos m. sav.,TUI,2.3,,,2.0,
Palangos m. sav.,MIG,2.2,,,2.0,
Palangos m. sav.,PVG,4.9,,,2.0,
Palangos m. sav.,UGD,45.7,,,2.0,
Palangos m. sav.,NM,0.0,,,2.0,
Palangos m. sav.,SLD,28.4,,,3.0,
Palangos m. sav.,DAG,60.0,,,1.0,
Palangos m. sav.,PAG,26.0,,,2.0,
Palangos m. sav.,USS,7.6,,,3.0,
Palangos m. sav.,GSM,-11.81,,,3.0,
Palangos m. sav.,GSK,,,,,
Palangos m. sav.,KGD,,,,,
Palangos m. sav.,M,39.0,,,2.0,
Palangos m. sav.,ZNP,32.0,,,2.0,
Palangos m. sav.,RIP,9.02,,,3.0,
Palangos m. sav.,NII,3.0,,,1.0,
Palangos m. sav.,INI,1.3,,,1.0,
Palangos m. sav.,PVI,36.5,,,2.0,
Palangos m. sav.,KNI,24.00,,,1.0,
Palangos m. sav.,NG,7.0,,,1.0,
Palangos m. sav.,PVA,4.5,,,2.0,
Palangos m. sav.,STP,5.0,,,2.0,
Palangos m. sav.,KPO,32.1,,,3.0,
Skuodo r. sav.,NL,8.0,,,3.0,
Skuodo r. sav.,IBD,46.7,,,1.0,
Skuodo r. sav.,LLS,13.1,,,2.0,
Skuodo r. sav.,MPM,16.6,,,3.0,
Skuodo r. sav.,MMA,66.5,,,1.0,
Skuodo r. sav.,EIS,0.6,,,3.0,
Skuodo r. sav.,VTP,33.3,,,2.0,
Skuodo r. sav.,KGP,0.0,,,1.0,
Skuodo r. sav.,OUP,0.03,,,3.0,
Skuodo r. sav.,KPD,28.0,,,1.0,
Skuodo r. sav.,GVT,59.0,,,2.0,
Skuodo r. sav.,VBN,42.0,,,2.0,
Skuodo r. sav.,CTS,10.0,,,1.0,
Skuodo r. sav.,NZP,29.0,,,1.0,
Skuodo r. sav.,VTD,67.00,,,3.0,
Skuodo r. sav.,OIT,97.04,,,3.0,
Skuodo r. sav.,EDD,0.8,,,3.0,
Skuodo r. sav.,NDU,465.0,,,1.0,
Skuodo r. sav.,TUI,0.2,,,1.0,
Skuodo r. sav.,MIG,0.3,,,1.0,
Skuodo r. sav.,PVG,1.2,,,1.0,
Skuodo r. sav.,UGD,49.8,,,3.0,
Skuodo r. sav.,NM,-0.02,,,1.0,
Skuodo r. sav.,SLD,3.4,,,1.0,
Skuodo r. sav.,DAG,60.0,,,1.0,
Skuodo r. sav.,PAG,26.0,,,2.0,
Skuodo r. sav.,USS,2.6,,,1.0,
Skuodo r. sav.,GSM,-26.44,,,1.0,
Skuodo r. sav.,GSK,-31.0,,,1.0,
Skuodo r. sav.,KGD,5.78,,,3.0,
Skuodo r. sav.,M,42.0,,,2.0,
Skuodo r. sav.,ZNP,71.0,,,3.0,
Skuodo r. sav.,RIP,4.01,,,1.0,
Skuodo r. sav.,NII,1.0,,,1.0,
Skuodo r. sav.,INI,,,,,
Skuodo r. sav.,PVI,2.3,,,1.0,
Skuodo r. sav.,KNI,16.00,,,1.0,
Skuodo r. sav.,NG,,,,,
Skuodo r. sav.,PVA,0.0,,,1.0,
Skuodo r. sav.,STP,39.0,,,1.0,
Skuodo r. sav.,KPO,5.0,,,1.0,
Šilutės r. sav.,NL,12.2,,,1.0,
Šilutės r. sav.,IBD,23.0,,,2.0,
Šilutės r. sav.,LLS,86.5,,,3.0,
Šilutės r. sav.,MPM,14.8,,,3.0,
Šilutės r. sav.,MMA,70.7,,,1.0,
Šilutės r. sav.,EIS,0.9,,,3.0,
Šilutės r. sav.,VTP,19.5,,,1.0,
Šilutės r. sav.,KGP,0.0,,,1.0,
Šilutės r. sav.,OUP,0.05,,,3.0,
Šilutės r. sav.,KPD,22.0,,,1.0,
Šilutės r. sav.,GVT,70.0,,,2.0,
Šilutės r. sav.,VBN,58.0,,,2.0,
Šilutės r. sav.,CTS,10.0,,,1.0,
Šilutės r. sav.,NZP,52.0,,,2.0,
Šilutės r. sav.,VTD,59.00,,,2.0,
Šilutės r. sav.,OIT,394.02,,,3.0,
Šilutės r. sav.,EDD,0.6,,,3.0,
Šilutės r. sav.,NDU,487.0,,,1.0,
Šilutės r. sav.,TUI,0.9,,,1.0,
Šilutės r. sav.,MIG,0.7,,,1.0,
Šilutės r. sav.,PVG,2.6,,,1.0,
Šilutės r. sav.,UGD,34.3,,,1.0,
Šilutės r. sav.,NM,-0.02,,,1.0,
Šilutės r. sav.,SLD,5.3,,,2.0,
Šilutės r. sav.,DAG,62.0,,,2.0,
Šilutės r. sav.,PAG,22.0,,,2.0,
Šilutės r. sav.,USS,3.7,,,2.0,
Šilutės r. sav.,GSM,-23.07,,,1.0,
Šilutės r. sav.,GSK,-27.0,,,1.0,
Šilutės r. sav.,KGD,5.05,,,3.0,
Šilutės r. sav.,M,11.0,,,1.0,
Šilutės r. sav.,ZNP,49.0,,,2.0,
Šilutės r. sav.,RIP,8.53,,,3.0,
Šilutės r. sav.,NII,111.0,,,2.0,
Šilutės r. sav.,INI,0.3,,,1.0,
Šilutės r. sav.,PVI,15.0,,,1.0,
Šilutės r. sav.,KNI,415.00,,,2.0,
Šilutės r. sav.,NG,15.0,,,2.0,
Šilutės r. sav.,PVA,3.9,,,1.0,
Šilutės r. sav.,STP,10.0,,,3.0,
Šilutės r. sav.,KPO,5.7,,,1.0,
Kalvarijos sav.,NL,14.6,,,1.0,
Kalvarijos sav.,IBD,34.5,,,2.0,
Kalvarijos sav.,LLS,36.1,,,3.0,
Kalvarijos sav.,MPM,11.5,,,2.0,
Kalvarijos sav.,MMA,72.3,,,2.0,
Kalvarijos sav.,EIS,0.63,,,3.0,
Kalvarijos sav.,VTP,25.8,,,2.0,
Kalvarijos sav.,KGP,1.0,,,1.0,
Kalvarijos sav.,OUP,0.05,,,3.0,
Kalvarijos sav.,KPD,29.0,,,1.0,
Kalvarijos sav.,GVT,,,,,
Kalvarijos sav.,VBN,,,,,
Kalvarijos sav.,CTS,,,,,
Kalvarijos sav.,NZP,29.0,,,1.0,
Kalvarijos sav.,VTD,65.00,,,2.0,
Kalvarijos sav.,OIT,185.19,,,3.0,
Kalvarijos sav.,EDD,1.3,,,3.0,
Kalvarijos sav.,NDU,455.0,,,1.0,
Kalvarijos sav.,TUI,0.0,,,1.0,
Kalvarijos sav.,MIG,0.6,,,1.0,
Kalvarijos sav.,PVG,1.5,,,1.0,
Kalvarijos sav.,UGD,37.1,,,1.0,
Kalvarijos sav.,NM,-0.02,,,1.0,
Kalvarijos sav.,SLD,4.0,,,1.0,
Kalvarijos sav.,DAG,61.0,,,2.0,
Kalvarijos sav.,PAG,21.0,,,3.0,
Kalvarijos sav.,USS,1.9,,,1.0,
Kalvarijos sav.,GSM,-16.99,,,2.0,
Kalvarijos sav.,GSK,-19.0,,,1.0,
Kalvarijos sav.,KGD,11.38,,,2.0,
Kalvarijos sav.,M,14.0,,,1.0,
Kalvarijos sav.,ZNP,73.0,,,3.0,
Kalvarijos sav.,RIP,3.91,,,1.0,
Kalvarijos sav.,NII,36.0,,,1.0,
Kalvarijos sav.,INI,,,,,
Kalvarijos sav.,PVI,1.8,,,1.0,
Kalvarijos sav.,KNI,111.00,,,1.0,
Kalvarijos sav.,NG,,,,,
Kalvarijos sav.,PVA,0.9,,,1.0,
Kalvarijos sav.,STP,47.0,,,1.0,
Kalvarijos sav.,KPO,5.2,,,1.0,
Kazlų Rūdos sav.,NL,11.4,,,2.0,
Kazlų Rūdos sav.,IBD,37.9,,,2.0,
Kazlų Rūdos sav.,LLS,33.0,,,2.0,
Kazlų Rūdos sav.,MPM,26.2,,,1.0,
Kazlų Rūdos sav.,MMA,74.7,,,2.0,
Kazlų Rūdos sav.,EIS,0.9,,,3.0,
Kazlų Rūdos sav.,VTP,14.0,,,1.0,
Kazlų Rūdos sav.,KGP,38.0,,,3.0,
Kazlų Rūdos sav.,OUP,0.03,,,3.0,
Kazlų Rūdos sav.,KPD,23.0,,,1.0,
Kazlų Rūdos sav.,GVT,63.0,,,2.0,
Kazlų Rūdos sav.,VBN,65.0,,,2.0,
Kazlų Rūdos sav.,CTS,16.0,,,1.0,
Kazlų Rūdos sav.,NZP,69.0,,,2.0,
Kazlų Rūdos sav.,VTD,62.00,,,2.0,
Kazlų Rūdos sav.,OIT,729.74,,,2.0,
Kazlų Rūdos sav.,EDD,2.1,,,2.0,
Kazlų Rūdos sav.,NDU,573.0,,,2.0,
Kazlų Rūdos sav.,TUI,7.4,,,3.0,
Kazlų Rūdos sav.,MIG,1.1,,,1.0,
Kazlų Rūdos sav.,PVG,4.9,,,2.0,
Kazlų Rūdos sav.,UGD,42.0,,,2.0,
Kazlų Rūdos sav.,NM,-0.02,,,1.0,
Kazlų Rūdos sav.,SLD,5.3,,,2.0,
Kazlų Rūdos sav.,DAG,60.0,,,1.0,
Kazlų Rūdos sav.,PAG,23.0,,,2.0,
Kazlų Rūdos sav.,USS,3.3,,,1.0,
Kazlų Rūdos sav.,GSM,-16.81,,,2.0,
Kazlų Rūdos sav.,GSK,-17.0,,,1.0,
Kazlų Rūdos sav.,KGD,12.22,,,2.0,
Kazlų Rūdos sav.,M,60.0,,,3.0,
Kazlų Rūdos sav.,ZNP,30.0,,,2.0,
Kazlų Rūdos sav.,RIP,4.93,,,1.0,
Kazlų Rūdos sav.,NII,2.0,,,1.0,
Kazlų Rūdos sav.,INI,,,,,
Kazlų Rūdos sav.,PVI,1.9,,,1.0,
Kazlų Rūdos sav.,KNI,0.00,,,1.0,
Kazlų Rūdos sav.,NG,,,,,
Kazlų Rūdos sav.,PVA,1.5,,,1.0,
Kazlų Rūdos sav.,STP,4.0,,,2.0,
Kazlų Rūdos sav.,KPO,2.4,,,1.0,
Marijampolės sav.,NL,8.0,,,3.0,
Marijampolės sav.,IBD,27.9,,,2.0,
Marijampolės sav.,LLS,73.7,,,3.0,
Marijampolės sav.,MPM,12.8,,,2.0,
Marijampolės sav.,MMA,76.1,,,2.0,
Marijampolės sav.,EIS,0.8,,,3.0,
Marijampolės sav.,VTP,36.2,,,2.0,
Marijampolės sav.,KGP,27.0,,,2.0,
Marijampolės sav.,OUP,0.04,,,3.0,
Marijampolės sav.,KPD,35.0,,,2.0,
Marijampolės sav.,GVT,87.0,,,3.0,
Marijampolės sav.,VBN,79.0,,,3.0,
Marijampolės sav.,CTS,22.0,,,2.0,
Marijampolės sav.,NZP,24.0,,,1.0,
Marijampolės sav.,VTD,52.00,,,2.0,
Marijampolės sav.,OIT,931.34,,,2.0,
Marijampolės sav.,EDD,0.4,,,3.0,
Marijampolės sav.,NDU,518.0,,,1.0,
Marijampolės sav.,TUI,0.4,,,1.0,
Marijampolės sav.,MIG,1.9,,,2.0,
Marijampolės sav.,PVG,4.0,,,2.0,
Marijampolės sav.,UGD,,,,3.0,
Marijampolės sav.,NM,-0.02,,,1.0,
Marijampolės sav.,SLD,5.6,,,2.0,
Marijampolės sav.,DAG,63.0,,,2.0,
Marijampolės sav.,PAG,21.0,,,3.0,
Marijampolės sav.,USS,4.3,,,2.0,
Marijampolės sav.,GSM,-22.76,,,1.0,
Marijampolės sav.,GSK,-12.0,,,2.0,
Marijampolės sav.,KGD,13.12,,,2.0,
Marijampolės sav.,M,15.0,,,1.0,
Marijampolės sav.,ZNP,71.0,,,3.0,
Marijampolės sav.,RIP,4.42,,,1.0,
Marijampolės sav.,NII,0.0,,,1.0,
Marijampolės sav.,INI,,,,,
Marijampolės sav.,PVI,30.1,,,2.0,
Marijampolės sav.,KNI,0.00,,,1.0,
Marijampolės sav.,NG,,,,,
Marijampolės sav.,PVA,5.0,,,2.0,
Marijampolės sav.,STP,15.0,,,3.0,
Marijampolės sav.,KPO,8.0,,,2.0,
Šakių r. sav.,NL,9.6,,,2.0,
Šakių r. sav.,IBD,53.8,,,1.0,
Šakių r. sav.,LLS,43.2,,,3.0,
Šakių r. sav.,MPM,16.7,,,3.0,
Šakių r. sav.,MMA,73.4,,,2.0,
Šakių r. sav.,EIS,0.82,,,3.0,
Šakių r. sav.,VTP,8.1,,,1.0,
Šakių r. sav.,KGP,2.0,,,1.0,
Šakių r. sav.,OUP,0.04,,,3.0,
Šakių r. sav.,KPD,30.0,,,1.0,
Šakių r. sav.,GVT,71.0,,,2.0,
Šakių r. sav.,VBN,43.0,,,2.0,
Šakių r. sav.,CTS,6.0,,,1.0,
Šakių r. sav.,NZP,30.0,,,1.0,
Šakių r. sav.,VTD,7.00,,,1.0,
Šakių r. sav.,OIT,222.63,,,3.0,
Šakių r. sav.,EDD,1.6,,,2.0,
Šakių r. sav.,NDU,487.0,,,1.0,
Šakių r. sav.,TUI,0.5,,,1.0,
Šakių r. sav.,MIG,0.9,,,1.0,
Šakių r. sav.,PVG,1.5,,,1.0,
Šakių r. sav.,UGD,39.1,,,2.0,
Šakių r. sav.,NM,-0.02,,,1.0,
Šakių r. sav.,SLD,3.3,,,1.0,
Šakių r. sav.,DAG,61.0,,,2.0,
Šakių r. sav.,PAG,24.0,,,2.0,
Šakių r. sav.,USS,2.7,,,1.0,
Šakių r. sav.,GSM,-18.2,,,2.0,
Šakių r. sav.,GSK,-25.0,,,1.0,
Šakių r. sav.,KGD,15.94,,,2.0,
Šakių r. sav.,M,23.0,,,1.0,
Šakių r. sav.,ZNP,68.0,,,3.0,
Šakių r. sav.,RIP,4.39,,,1.0,
Šakių r. sav.,NII,25.0,,,1.0,
Šakių r. sav.,INI,,,,,
Šakių r. sav.,PVI,15.3,,,1.0,
Šakių r. sav.,KNI,0.00,,,1.0,
Šakių r. sav.,NG,,,,,
Šakių r. sav.,PVA,3.6,,,1.0,
Šakių r. sav.,STP,5.0,,,2.0,
Šakių r. sav.,KPO,4.8,,,1.0,
Vilkaviškio r. sav.,NL,10.0,,,2.0,
Vilkaviškio r. sav.,IBD,38.7,,,2.0,
Vilkaviškio r. sav.,LLS,46.2,,,3.0,
Vilkaviškio r. sav.,MPM,15.0,,,3.0,
Vilkaviškio r. sav.,MMA,68.9,,,1.0,
Vilkaviškio r. sav.,EIS,0.55,,,3.0,
Vilkaviškio r. sav.,VTP,31.4,,,2.0,
Vilkaviškio r. sav.,KGP,23.0,,,2.0,
Vilkaviškio r. sav.,OUP,0.05,,,3.0,
Vilkaviškio r. sav.,KPD,34.0,,,2.0,
Vilkaviškio r. sav.,GVT,66.0,,,2.0,
Vilkaviškio r. sav.,VBN,49.0,,,2.0,
Vilkaviškio r. sav.,CTS,10.0,,,1.0,
Vilkaviškio r. sav.,NZP,23.0,,,1.0,
Vilkaviškio r. sav.,VTD,35.00,,,2.0,
Vilkaviškio r. sav.,OIT,190.33,,,3.0,
Vilkaviškio r. sav.,EDD,1.2,,,3.0,
Vilkaviškio r. sav.,NDU,466.1,,,1.0,
Vilkaviškio r. sav.,TUI,0.1,,,1.0,
Vilkaviškio r. sav.,MIG,0.5,,,1.0,
Vilkaviškio r. sav.,PVG,1.5,,,1.0,
Vilkaviškio r. sav.,UGD,37.3,,,1.0,
Vilkaviškio r. sav.,NM,-0.02,,,1.0,
Vilkaviškio r. sav.,SLD,4.0,,,1.0,
Vilkaviškio r. sav.,DAG,60.0,,,1.0,
Vilkaviškio r. sav.,PAG,24.0,,,2.0,
Vilkaviškio r. sav.,USS,2.2,,,1.0,
Vilkaviškio r. sav.,GSM,-22.09,,,1.0,
Vilkaviškio r. sav.,GSK,-24.0,,,1.0,
Vilkaviškio r. sav.,KGD,18.21,,,2.0,
Vilkaviškio r. sav.,M,11.0,,,1.0,
Vilkaviškio r. sav.,ZNP,78.0,,,3.0,
Vilkaviškio r. sav.,RIP,4.29,,,1.0,
Vilkaviškio r. sav.,NII,21.0,,,1.0,
Vilkaviškio r. sav.,INI,,,,,
Vilkaviškio r. sav.,PVI,28.5,,,2.0,
Vilkaviškio r. sav.,KNI,182.00,,,1.0,
Vilkaviškio r. sav.,NG,,,,,
Vilkaviškio r. sav.,PVA,3.0,,,1.0,
Vilkaviškio r. sav.,STP,9.0,,,3.0,
Vilkaviškio r. sav.,KPO,7.0,,,2.0,
Biržų r. sav.,NL,8.9,,,2.0,
Biržų r. sav.,IBD,37.8,,,2.0,
Biržų r. sav.,LLS,59.2,,,3.0,
Biržų r. sav.,MPM,22.3,,,2.0,
Biržų r. sav.,MMA,70.7,,,1.0,
Biržų r. sav.,EIS,3.73,,,1.0,
Biržų r. sav.,VTP,34.5,,,2.0,
Biržų r. sav.,KGP,0.0,,,1.0,
Biržų r. sav.,OUP,0.1,,,2.0,
Biržų r. sav.,KPD,24.0,,,1.0,
Biržų r. sav.,GVT,35.0,,,1.0,
Biržų r. sav.,VBN,40.0,,,1.0,
Biržų r. sav.,CTS,10.0,,,1.0,
Biržų r. sav.,NZP,36.0,,,1.0,
Biržų r. sav.,VTD,32.00,,,1.0,
Biržų r. sav.,OIT,225.97,,,3.0,
Biržų r. sav.,EDD,0.4,,,3.0,
Biržų r. sav.,NDU,490.8,,,1.0,
Biržų r. sav.,TUI,0.5,,,1.0,
Biržų r. sav.,MIG,0.5,,,1.0,
Biržų r. sav.,PVG,1.8,,,1.0,
Biržų r. sav.,UGD,45.2,,,2.0,
Biržų r. sav.,NM,-0.02,,,1.0,
Biržų r. sav.,SLD,4.8,,,2.0,
Biržų r. sav.,DAG,59.0,,,1.0,
Biržų r. sav.,PAG,28.0,,,1.0,
Biržų r. sav.,USS,2.8,,,1.0,
Biržų r. sav.,GSM,-26.04,,,1.0,
Biržų r. sav.,GSK,-30.2,,,1.0,
Biržų r. sav.,KGD,31.36,,,1.0,
Biržų r. sav.,M,27.0,,,2.0,
Biržų r. sav.,ZNP,63.0,,,3.0,
Biržų r. sav.,RIP,4.46,,,1.0,
Biržų r. sav.,NII,20.0,,,1.0,
Biržų r. sav.,INI,,,,,
Biržų r. sav.,PVI,21.7,,,1.0,
Biržų r. sav.,KNI,125.00,,,1.0,
Biržų r. sav.,NG,,,,,
Biržų r. sav.,PVA,2.9,,,1.0,
Biržų r. sav.,STP,22.0,,,3.0,
Biržų r. sav.,KPO,5.6,,,1.0,
Kupiškio r. sav.,NL,12.4,,,1.0,
Kupiškio r. sav.,IBD,34.1,,,2.0,
Kupiškio r. sav.,LLS,45.3,,,3.0,
Kupiškio r. sav.,MPM,20.3,,,2.0,
Kupiškio r. sav.,MMA,71.1,,,2.0,
Kupiškio r. sav.,EIS,1.0,,,3.0,
Kupiškio r. sav.,VTP,34.2,,,2.0,
Kupiškio r. sav.,KGP,7.0,,,1.0,
Kupiškio r. sav.,OUP,0.08,,,2.0,
Kupiškio r. sav.,KPD,28.0,,,1.0,
Kupiškio r. sav.,GVT,72.0,,,3.0,
Kupiškio r. sav.,VBN,61.0,,,2.0,
Kupiškio r. sav.,CTS,19.0,,,1.0,
Kupiškio r. sav.,NZP,41.0,,,1.0,
Kupiškio r. sav.,VTD,29.00,,,1.0,
Kupiškio r. sav.,OIT,322.89,,,3.0,
Kupiškio r. sav.,EDD,0.7,,,3.0,
Kupiškio r. sav.,NDU,465.0,,,1.0,
Kupiškio r. sav.,TUI,0.2,,,1.0,
Kupiškio r. sav.,MIG,0.5,,,1.0,
Kupiškio r. sav.,PVG,1.9,,,1.0,
Kupiškio r. sav.,UGD,36.2,,,1.0,
Kupiškio r. sav.,NM,-0.02,,,1.0,
