SAV,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
PAV,Nedarbo lygis,Standartizuota reikšmė,Rezultatas indeksui,Ilgalaikių bedarbių dalis nuo visų bedarbių,Standartizuota reikšmė,Rezultatas indeksui,Ligoninių lovų skaičius,Standartizuota reikšmė,Rezultatas indeksui,Mokyklos plotas tenkantis vienam mokiniui,Standartizuota reikšmė,Rezultatas indeksui,Įskaitinių eismo įvykių skaičius,Standartizuota reikšmė,Rezultatas indeksui,Viešojo transporto pasiekiamumas,Standartizuota reikšmė,Rezultatas indeksui,Keleivinių geležinkelių stočių pasiekiamumas. % nuo savivaldybės teritorijos,Standartizuota reikšmė,Rezultatas indeksui,Pasiekiamumas iki artimiausio Lietuvos oro uosto automobiliu,Standartizuota reikšmė,Rezultatas indeksui,Gyventojų dalis. turinti prieigą prie vešųjų geriamojo vandens tiekimo tinklų. palyginus su bendru gyventojų skaičiumi,Standartizuota reikšmė,Rezultatas indeksui,Natūralių ir pusiau natūralių teritorijų – miškų. kitų želdinių. pelkių. vandenų. natūralių pievų ir ganyklų. nenaudojamos žemės) ploto santykis su Lietuvos Respublikos teritorijos plotu,Standartizuota reikšmė,Rezultatas indeksui,Geros būklės vandens telkinių dalis,Standartizuota reikšmė,Rezultatas indeksui,Į aplinkos orą išmetamo teršalo (SO2. NOx. NMLOJ. NH3. KD) kiekis iš stacionarių taršos šaltinių :,Standartizuota reikšmė,Rezultatas indeksui,Prie viešųjų buitinių nuotekų tinklų prisijungusių gyventojų dalis,Standartizuota reikšmė,Rezultatas indeksui,Gyventojų. aprūpinamų centralizuotai tiekiama šiluma. dalis palyginus su bendru gyventojų skaičiumi,Standartizuota reikšmė,Rezultatas indeksui,Vidutinis neto darbo užmokestis,Standartizuota reikšmė,Rezultatas indeksui,Tiesioginės užsienio investicijos gyventojui,Standartizuota reikšmė,Rezultatas indeksui,Materialinės investicijos gyventojui,Standartizuota reikšmė,Rezultatas indeksui,Pridėtinė vertė gyventojui,Standartizuota reikšmė,Rezultatas indeksui,Užimtų gyventojų dalis,Standartizuota reikšmė,Rezultatas indeksui,Neto migracija,Standartizuota reikšmė,Rezultatas indeksui,Išduoti statybos leidimai tūkst. gyv.,Standartizuota reikšmė,Rezultatas indeksui,Darbingo amžiaus gyventojų dalis,Standartizuota reikšmė,Rezultatas indeksui,Pensijinio amžiaus gyventojų dalis,Standartizuota reikšmė,Rezultatas indeksui,Veikiančių ūkio subjektų skaičius tenkantis šimtui darbingo amžiaus nuolatinių gyventojų,Standartizuota reikšmė,Rezultatas indeksui,Gyventojų skaičius miestuose,Standartizuota reikšmė,Rezultatas indeksui,Gyventojų skaičius kaimuose (kaimo gyvenamosiose vietovėse),Standartizuota reikšmė,Rezultatas indeksui,Kaimo gyvenamųjų vietovių be gyventojų dalis nuo visų savivaldybės kaimo gyvenamųjų vietovių,Standartizuota reikšmė,Rezultatas indeksui,Kelių su patobulinta danga. procentas,Standartizuota reikšmė,Rezultatas indeksui,Miškingumas,Standartizuota reikšmė,Rezultatas indeksui,Žemės ūkio naudmenų plotas,Standartizuota reikšmė,Rezultatas indeksui,Rekreacinių išteklių potencialas pagal savivaldybes,Standartizuota reikšmė,Rezultatas indeksui,Sausumos saugomų teritorijų plotas,Standartizuota reikšmė,Rezultatas indeksui,Kultūros paveldo objektų skaičius 20 km² teritorijoje,Standartizuota reikšmė,Rezultatas indeksui,Detaliai išžvalgytų kietųjų naudingųjų iškasenų ištekliai,Standartizuota reikšmė,Rezultatas indeksui,Detaliai išžvalgyti naftos ištekliai,Standartizuota reikšmė,Rezultatas indeksui,Ištirti požeminio vandens ištekliai,Standartizuota reikšmė,Rezultatas indeksui,Kietųjų naudingųjų iškasenų gavyba,Standartizuota reikšmė,Rezultatas indeksui,Naftos gavyba,Standartizuota reikšmė,Rezultatas indeksui,Požeminio vandens gavyba,Standartizuota reikšmė,Rezultatas indeksui,"Žmonių, uždirbančių daugiau nei MMA, dalis",Standartizuota reikšmė,Rezultatas indeksui,Stipriai eroduojamų dirvožemių dalis nuo savivaldybės ploto,Standartizuota reikšmė,Rezultatas indeksui
Sritis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Socialinis,Susisiekimas,Susisiekimas,Susisiekimas,Susisiekimas. Urbanistinis,Susisiekimas. Urbanistinis,Susisiekimas. Urbanistinis,Susisiekimas,Susisiekimas,Susisiekimas,Susisiekimas,Susisiekimas,Susisiekimas,Inžinerinė,Inžinerinė,Inžinerinė,kraštovaizdis,kraštovaizdis,kraštovaizdis,aplinkosauga,aplinkosauga,aplinkosauga,aplinkosauga,aplinkosauga,aplinkosauga,Inžinerinė,Inžinerinė,Inžinerinė,Inžinerinė,Inžinerinė,Inžinerinė,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Ekonominis. Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Urbanistinis,Susisiekimas,Susisiekimas,Susisiekimas,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ekosistemų apsauga,Ekosistemų apsauga,Ekosistemų apsauga,Kultūros paveldas,Kultūros paveldas,Kultūros paveldas,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Ištekliai,Socialinis,Socialinis,Socialinis,aplinkosauga,aplinkosauga,aplinkosauga
Tiriamasis laikotarpis,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.,2016 m.
"Matavimo
  vienetas",%,,,%,,,vnt./10 000 gyv.,,,kv. m./mok. sk.,,,įsk. e. į./1000 gyv.,,,%,,,%,,,val.,,,%,,,%,,,%,,,t/metus,,,%,,,%,,,EUR,,,Tūkst. EUR,,,Tūkst. EUR,,,Tūkst. EUR,,,%,,,%,,,vnt./gyv. Sk. tūkst.,,,%,,,%,,,vnt.,,,%,,,%,,,%,,,%,,,%,,,%,,,Koeficientas,,,%,,,vnt./20 km²,,,mln. m3,,,mln. m3,,,tūkst. m3/p,,,tūkst. m3.,,,tūkst. m3,,,tūkst. m3/p,,,%,,,2016 m.,,
