SAV,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Marijampolės sav.,8,7.0,3,27.9,5.7,2,73.7,8.9,3,12.8,6.5,2,0.8,8.1,3,36.2,5.5,2,27%,6.4,2,1:02,7.8,3,87,8.5,3,24,0.1,1,52,5.2,2,931.34,5.6,2,79,7.6,3,22,3.6,2,518.0,2.9,1,0.4,0.6,1,1.9,5.2,2,4.0,3.7,2,,10.0,3,-2.10%,1.9,1,5.6,4.9,2,63%,5.5,2,21%,7.1,3,4.3,4.8,2,-22.76,3.1,1,-12,4.1,2,13.12,6.0,2,35,4.0,2,15,1.9,1,71,9.1,3,4.42,1.5,1,15,8.8,3,8,4.5,2,0.0,0.0,1,,,,30.1,4.4,2,0.0,0.0,1,,,,5.0,3.8,2,76.1,6.6,2,0.4,9.4,3
Šakių r. sav.,9.6,5.5,2,53.8,1.1,1,43.2,7.6,3,16.7,9.6,3,0.82,8.1,3,8.1,0.0,1,2%,0.5,1,1:03,7.7,3,71,6.6,2,30,0.9,1,7,0.7,1,222.63,9.1,3,43,3.6,2,6,0.7,1,487.0,1.5,1,0.5,0.8,1,0.9,1.9,1,1.5,0.5,1,39.1,3.7,2,-1.70%,2.8,1,3.3,1.5,1,61%,3.6,2,24%,5.0,2,2.7,1.6,1,-18.2,4.6,2,-25,1.8,1,15.94,5.1,2,30,2.9,1,23,3.1,1,68,8.7,3,4.39,1.5,1,5,5.4,2,4.8,1.9,1,25.0,1.1,1,,,,15.3,2.1,1,0.0,0.0,1,,,,3.6,2.8,1,73.4,4.9,2,1.6,6.1,2
Vilkaviškio r. sav.,10,5.1,2,38.7,3.8,2,46.2,7.9,3,15,8.7,3,0.55,8.8,3,31.4,4.6,2,23%,5.5,2,1:19,7.0,3,66,6.0,2,23,0.0,1,35,3.5,2,190.33,9.3,3,49,4.3,2,10,1.5,1,466.1,0.6,1,0.1,0.2,1,0.5,0.6,1,1.5,0.5,1,37.3,2.9,1,-2.30%,1.5,1,4,2.5,1,60%,2.7,1,24%,5.0,2,2.2,0.6,1,-22.09,3.3,1,-24,2.0,1,18.21,4.4,2,34,3.8,2,11,1.3,1,78,10.0,3,4.29,1.3,1,9,6.8,3,7,3.7,2,21.0,1.0,1,,,,28.5,4.1,2,182.0,2.1,1,,,,3.0,2.3,1,68.9,2.1,1,1.2,7.2,3
Biržų r. sav.,8.9,6.1,2,37.8,3.9,2,59.2,9.4,3,22.3,3.9,2,3.73,0.0,1,34.5,5.2,2,0%,0.0,1,2:21,4.3,2,35,2.4,1,36,1.7,1,32,3.2,1,225.97,9.1,3,40,3.3,1,10,1.5,1,490.8,1.7,1,0.5,0.8,1,0.5,0.6,1,1.8,0.9,1,45.2,6.2,2,-1.90%,2.3,1,4.8,3.7,2,59%,1.8,1,28%,2.1,1,2.8,1.8,1,-26.04,2.0,1,-30.2,0.9,1,31.36,0.4,1,24,1.6,1,27,3.7,2,63,8.1,3,4.46,1.6,1,22,8.7,3,5.6,2.6,1,20.0,0.9,1,,,,21.7,3.1,1,125.0,1.4,1,,,,2.9,2.2,1,70.7,3.2,1,0.4,9.4,3
Kupiškio r. sav.,12.4,2.8,1,34.1,4.6,2,45.3,7.8,3,20.3,6.0,2,1,7.6,3,34.2,5.1,2,7%,1.7,1,2:00,5.2,2,72,6.7,3,41,2.4,1,29,2.9,1,322.89,8.6,3,61,5.6,2,19,3.1,1,465.0,0.6,1,0.2,0.3,1,0.5,0.6,1,1.9,1.0,1,36.2,2.5,1,-2.00%,2.1,1,3.6,1.9,1,59%,1.8,1,27%,2.9,1,2.7,1.6,1,-22.04,3.3,1,-29,1.1,1,25.89,2.1,1,28,2.4,1,30,4.2,2,58,7.4,3,4.4,1.5,1,10,7.1,3,6.9,3.6,2,54.0,2.5,1,,,,9.0,1.2,1,293.0,3.3,2,,,,1.2,0.9,1,71.1,3.4,2,0.7,8.6,3
Panevėžio m. sav.,7.4,7.5,3,30.7,5.2,2,18.7,4.8,2,11.9,5.6,2,1.54,6.1,2,92.0,10.0,3,100%,10.0,3,1:28,6.6,2,97,9.7,3,27,0.5,1,8,0.8,1,2049.04,0.0,1,97,9.7,3,32,5.5,2,566.0,4.9,2,2.8,4.4,2,1.4,3.5,2,5.6,5.7,2,51.0,8.6,3,-2.30%,1.5,1,4.5,3.2,1,61%,3.6,2,24%,5.0,2,6.1,8.4,3,-21.84,3.4,2,n,,,n,,,60,9.6,3,2,0.0,1,30,3.8,2,3.4,0.0,1,1,4.0,2,91.2,10.0,3,0.0,0.0,1,,,,67.9,10.0,3,0.0,0.0,1,,,,18.5,10.0,3,77.7,7.6,3,n,,
Panevėžio r. sav.,8.6,6.4,2,33.7,4.7,2,131,2.4,1,20,6.3,2,1.53,6.1,2,28.9,4.1,2,16%,3.8,2,1:28,6.6,2,97,9.7,3,42,2.5,1,4,0.4,1,322.6,8.6,3,97,9.7,3,n,,,496.0,1.9,1,1.2,1.9,1,0.8,1.6,1,2.8,2.2,1,45.0,6.1,2,-0.20%,6.0,2,7.3,7.4,3,62%,4.5,2,23%,5.7,2,3.7,3.6,2,-15.06,5.6,2,-14,3.8,2,24.19,2.6,1,30,2.9,1,35,4.9,2,56,7.2,3,4.62,1.8,1,20,9.4,3,3.9,1.2,1,9.0,0.4,1,,,,47.7,7.0,3,248.0,2.8,1,,,,2.4,1.8,1,75.6,6.3,2,0.2,10.0,3
Pasvalio r. sav.,12.1,3.1,1,39,3.7,2,65.3,9.9,3,16.1,9.8,3,1.11,7.3,3,33.1,4.9,2,0%,0.0,1,2:00,5.2,2,95,9.4,3,23,0.0,1,5,0.5,1,456.21,7.9,3,67,6.3,2,11,1.6,1,488.0,1.6,1,0.3,0.5,1,0.8,1.6,1,1.7,0.8,1,35.9,2.3,1,-2.50%,1.1,1,3.6,1.9,1,60%,2.7,1,25%,4.3,2,2.4,1.0,1,-20.56,3.8,2,-29.2,1.0,1,23.26,2.9,1,29,2.7,1,17,2.2,1,75,9.6,3,4.15,1.1,1,7,6.1,2,5.3,2.3,1,6.0,0.3,1,,,,12.0,1.7,1,0.0,0.0,1,,,,4.5,3.5,2,72.2,4.1,2,0.6,8.9,3
Rokiškio r. sav.,11.3,3.9,2,46.9,2.3,1,192,0.0,1,16.4,9.9,3,1.03,7.5,3,32.0,4.7,2,11%,2.6,1,2:12,4.7,2,72,6.7,3,47,3.2,1,57,5.7,2,713.23,6.7,3,59,5.4,2,17,2.7,1,507.0,2.4,1,0.5,0.8,1,0.9,1.9,1,2.7,2.0,1,34.7,1.8,1,-1.90%,2.3,1,3.1,1.2,1,60%,2.7,1,27%,2.9,1,2.9,2.0,1,-29.85,0.7,1,-22,2.3,1,27.39,1.6,1,41,5.3,2,29,4.0,2,55,7.1,3,5.27,2.8,1,6,5.7,2,4.6,1.8,1,103.0,4.7,2,,,,8.6,1.1,1,271.0,3.1,1,,,,5.4,4.2,2,76.7,6.9,3,1,7.8,3
Akmenės r. sav.,13.6,1.7,1,40.5,3.5,2,37.1,6.9,3,14.5,8.2,3,0.4,9.2,3,25.6,3.4,2,18%,4.3,2,1:48,5.7,2,n,,,41,2.4,1,45,4.5,2,4910.17,0.0,1,n,,,26,4.4,2,544.0,4.0,2,3.9,6.2,2,1.8,4.8,2,2.9,2.3,1,30.3,0.0,1,-2.20%,1.7,1,3.6,1.9,1,59%,1.8,1,6%,10.0,3,2.6,1.4,1,-32.01,0.0,1,-30,0.9,1,26.99,1.7,1,31,3.1,1,33,4.6,2,57,7.3,3,3.73,0.5,1,15,8.8,3,4.8,1.9,1,316.0,10.0,3,,,,13.8,1.9,1,878.0,10.0,3,,,,1.6,1.2,1,76.8,7.0,3,0.7,8.6,3
Joniškio r. sav.,11.2,4.0,2,47.8,2.2,1,52.1,8.6,3,15.4,9.1,3,0.5,8.9,3,29.3,4.1,2,0%,0.0,1,2:27,4.0,2,71,6.6,2,24,0.1,1,0,0.0,1,198.17,9.2,3,59,5.4,2,11,1.6,1,486.2,1.5,1,0.1,0.2,1,0.7,1.3,1,1.7,0.8,1,36.7,2.7,1,-2.20%,1.7,1,4.8,3.7,2,61%,3.6,2,25%,4.3,2,3,2.2,1,-23.14,2.9,1,-31,0.7,1,24.91,2.4,1,26,2.0,1,20,2.7,1,73,9.4,3,4.05,1.0,1,11,7.4,3,5.1,2.2,1,63.0,2.9,1,,,,7.6,1.0,1,243.0,2.8,1,,,,1.5,1.2,1,72.8,4.5,2,0.3,9.7,3
Kelmės r. sav.,13.5,1.8,1,49.2,1.9,1,68.5,9.5,3,15.9,9.6,3,1.3,6.7,3,31.6,4.6,2,0%,0.0,1,1:31,6.5,2,73,6.9,3,44,2.8,1,80,8.0,3,206.11,9.2,3,49,4.3,2,9,1.3,1,469.7,0.8,1,0.0,0.0,1,0.4,0.3,1,1.5,0.5,1,41.5,4.7,2,-2.30%,1.5,1,2.3,0.0,1,60%,2.7,1,26%,3.6,2,2.7,1.6,1,-23.45,2.8,1,-33,0.4,1,25.63,2.1,1,20,0.7,1,33,4.6,2,57,7.3,3,4.44,1.5,1,14,8.5,3,6.2,3.0,1,86.0,3.9,2,,,,3.5,0.4,1,142.0,1.6,1,,,,2.2,1.7,1,74.8,5.8,2,1.7,5.8,2
Pakruojo r. sav.,8.9,6.1,2,36.1,4.2,2,43.3,7.6,3,20.3,6.0,2,0.7,8.4,3,30.1,4.3,2,0%,0.0,1,1:59,5.2,2,76,7.2,3,27,0.5,1,0,0.0,1,190.42,9.3,3,62,5.7,2,10,1.5,1,506.8,2.4,1,1.9,3.0,1,0.9,1.9,1,2.0,1.1,1,36.3,2.5,1,-2.50%,1.1,1,3.8,2.2,1,60%,2.7,1,24%,5.0,2,3,2.2,1,-21.42,3.5,2,-32,0.5,1,24.29,2.5,1,33,3.6,2,20,2.7,1,72,9.2,3,4.26,1.3,1,12,7.8,3,6.9,3.6,2,98.0,4.5,2,,,,3.5,0.4,1,1284.0,10.0,3,,,,1.4,1.1,1,69.8,2.6,1,0.4,9.4,3
Radviliškio r. sav.,10.7,4.4,2,39.6,3.6,2,36.6,6.9,3,15.4,9.1,3,1.0,7.6,3,25.9,3.5,2,28%,6.7,3,1:41,6.0,2,77,7.3,3,33,1.3,1,25,2.5,1,677.12,6.8,3,72,6.9,3,18,2.9,1,468.8,0.8,1,0.4,0.6,1,0.8,1.6,1,2.5,1.8,1,42.6,5.1,2,-2.20%,1.7,1,5,4.0,2,60%,2.7,1,24%,5.0,2,2.7,1.6,1,-22.16,3.3,1,-31,0.7,1,22.22,3.2,1,24,1.6,1,26,3.6,2,65,8.3,3,4.73,2.0,1,10,7.1,3,4.9,2.0,1,170.0,7.8,3,,,,12.3,1.7,1,263.0,3.0,1,,,,2.6,2.0,1,73.4,4.9,2,0.3,9.7,3
Šiaulių m. sav.,5.3,9.5,3,21.1,6.9,3,132.7,2.2,1,12.6,6.3,2,1.7,5.6,2,76.2,10.0,3,97%,10.0,3,2:01,5.2,2,96,9.5,3,44,2.8,1,16,1.6,1,964.39,5.4,2,98,9.8,3,36,6.2,2,537.1,3.7,2,1.0,1.6,1,2.0,5.5,2,6.2,6.5,2,49.5,8.0,3,-1.50%,3.2,1,5.4,4.6,2,62%,4.5,2,22%,6.4,2,6.1,8.4,3,-23.08,3.0,1,n,,,n,,,54,8.2,3,6,0.6,1,15,1.9,1,3.51,0.2,1,19,9.8,3,42,10.0,3,3.0,0.1,1,,,,102.3,10.0,3,0.0,0.0,1,,,,13.0,10.0,3,75.3,6.1,2,n,,
Šiaulių r. sav.,7.9,7.1,3,29.8,5.3,2,28,5.9,2,16.8,9.5,3,1.3,6.7,3,33.1,4.9,2,27%,6.4,2,2:01,5.2,2,46,3.7,2,45,2.9,1,29,2.9,1,258.89,8.9,3,40,3.3,1,10,1.5,1,482.6,1.4,1,0.5,0.8,1,1.1,2.6,1,2.3,1.5,1,46.7,6.8,3,0.40%,7.2,3,11.5,10.0,3,62%,4.5,2,23%,5.7,2,3.4,3.0,1,-20.9,3.7,2,-19,2.9,1,16.53,4.9,2,24,1.6,1,35,4.9,2,55,7.1,3,5.22,2.7,1,17,9.5,3,7.5,4.1,2,55.0,2.5,1,,,,8.9,1.2,1,434.0,4.9,2,,,,3.0,2.3,1,71.4,3.6,2,0.4,9.4,3
Jurbarko r. sav.,13.4,1.9,1,42.4,3.1,1,66,9.8,3,18.5,7.8,3,0.8,8.1,3,17.6,1.9,1,0%,0.0,1,1:26,6.7,3,66,6.0,2,45,2.9,1,35,3.5,2,125.44,9.6,3,51,4.5,2,12,1.8,1,480.0,1.2,1,0.0,0.0,1,0.8,1.6,1,2.1,1.3,1,43.5,5.5,2,-2.00%,2.1,1,4.5,3.2,1,60%,2.7,1,25%,4.3,2,2.9,2.0,1,-23.24,2.9,1,-29,1.1,1,12.1,6.3,2,26,2.0,1,38,5.4,2,54,6.9,3,4.72,2.0,1,21,9.1,3,4.6,1.8,1,48.0,2.2,1,,,,10.3,1.4,1,157.0,1.8,1,,,,2.3,1.8,1,69.1,2.2,1,1.5,6.4,2
Pagėgių sav.,10,5.1,2,52.8,1.3,1,19.8,4.9,2,22.8,3.4,2,1.0,7.6,3,20.2,2.4,1,0%,0.0,1,1:40,6.1,2,64,5.8,2,35,1.6,1,55,5.5,2,43.93,10.0,3,38,3.0,1,n,,,538.2,3.7,2,0.0,0.0,1,1.6,4.2,2,1.1,0.0,1,42.8,5.2,2,-3.00%,0.0,1,5.3,4.4,2,62%,4.5,2,21%,7.1,3,3,2.2,1,-25.46,2.2,1,-32.7,0.4,1,11.54,6.5,2,20,0.7,1,17,2.2,1,71,9.1,3,6.79,5.1,2,19,9.8,3,5.3,2.3,1,33.0,1.5,1,,,,2.5,0.2,1,2.0,0.0,1,,,,2.0,1.5,1,65.6,0.0,1,0.8,8.3,3
Šilalės r. sav.,7.5,7.5,3,25.9,6.0,2,49.2,8.3,3,15.7,9.4,3,1.2,7.0,3,22.8,2.9,1,0%,0.0,1,1:13,7.3,3,85,8.3,3,38,2.0,1,70,7.0,3,67.03,9.9,3,53,4.7,2,10,1.5,1,492.0,1.8,1,0.0,0.0,1,0.4,0.3,1,1.6,0.6,1,51.2,8.7,3,-2.10%,1.9,1,4.9,3.8,2,62%,4.5,2,21%,7.1,3,2.8,1.8,1,-14.07,6.0,2,-25,1.8,1,10.61,6.7,3,19,0.4,1,29,4.0,2,60,7.7,3,4.44,1.5,1,13,8.1,3,7.5,4.1,2,10.0,0.5,1,,,,3.8,0.4,1,25.0,0.3,1,,,,1.7,1.3,1,66.7,0.7,1,2.3,4.2,2
Tauragės r. sav.,10.8,4.3,2,42,3.2,1,68.4,9.5,3,12.7,6.4,2,0.9,7.8,3,32.7,4.8,2,0%,0.0,1,1:37,6.2,2,67,6.2,2,48,3.3,2,78,7.8,3,367.79,8.4,3,61,5.6,2,12,1.8,1,494.0,1.8,1,0.7,1.1,1,1.0,2.3,1,2.9,2.3,1,44.1,5.8,2,-1.70%,2.8,1,4.8,3.7,2,62%,4.5,2,23%,5.7,2,4.2,4.6,2,-21.19,3.6,2,-25,1.8,1,15.82,5.1,2,20,0.7,1,39,5.5,2,50,6.4,2,4.71,2.0,1,24,8.0,3,4.9,2.0,1,41.0,1.9,1,,,,24.4,3.5,2,,,,,,,3.5,2.7,1,67.5,1.2,1,1.8,5.6,2
Mažeikių r. sav.,11,4.2,2,48.8,2.0,1,43.8,7.7,3,14.0,7.7,3,1.0,7.6,3,33.8,5.0,2,13%,3.1,1,1:30,6.5,2,83,8.0,3,37,1.9,1,65,6.5,2,24674.74,0.0,1,78,7.5,3,27,4.5,2,576.6,5.4,2,6.3,10.0,3,1.4,3.5,2,8.3,9.1,3,46.9,6.9,3,-2.40%,1.3,1,4.5,3.2,1,63%,5.5,2,19%,8.6,3,4.1,4.4,2,-18.06,4.6,2,-20,2.7,1,9.24,7.2,3,28,2.4,1,30,4.2,2,60,7.7,3,4,0.9,1,9,6.8,3,7.1,3.8,2,30.0,1.4,1,,,,21.5,3.1,1,205.0,2.3,1,,,,6.4,4.9,2,76.4,6.8,3,1.6,6.1,2
Plungės r. sav.,7.1,7.8,3,28.6,5.6,2,53,8.7,3,14.0,7.7,3,0.7,8.4,3,31.2,4.5,2,22%,5.2,2,0:52,8.2,3,86,8.4,3,49,3.5,2,83,8.3,3,745.89,6.5,2,76,7.3,3,17,2.7,1,494.6,1.9,1,0.6,1.0,1,0.9,1.9,1,3.1,2.5,1,42.2,5.0,2,-2.00%,2.1,1,5.4,4.6,2,62%,4.5,2,22%,6.4,2,3.6,3.4,2,-20.66,3.8,2,-18.4,3.0,1,5.53,8.3,3,19,0.4,1,36,5.1,2,51,6.5,2,5.19,2.7,1,34,4.5,2,8.3,4.7,2,35.0,1.6,1,0.3,0.0,1,17.4,2.5,1,67.0,0.8,1,0.0,0.0,1,4.9,3.8,2,72.2,4.1,2,1.8,5.6,2
Rietavo sav.,6.8,8.1,3,31,5.1,2,31.1,6.2,2,15.5,9.2,3,1.0,7.6,3,14.8,1.3,1,0%,0.0,1,0:58,7.9,3,n,,,62,5.2,2,92,9.2,3,248.13,9.0,3,n,,,n,,,499.3,2.1,1,0.0,0.0,1,0.8,1.6,1,2.1,1.3,1,44.0,5.7,2,-2.20%,1.7,1,4.7,3.5,2,62%,4.5,2,22%,6.4,2,3.5,3.2,1,-13.62,6.1,2,-33,0.4,1,13.08,6.0,2,29,2.7,1,54,7.8,3,38,4.9,2,4.77,2.0,1,12,7.8,3,4.3,1.5,1,23.0,1.1,1,,,,0.9,0.0,1,51.0,0.6,1,,,,0.1,0.1,1,68.6,1.9,1,0.4,9.4,3
Telšių r. sav.,7.4,7.5,3,30.9,5.1,2,65.1,9.9,3,17.3,9.0,3,1.1,7.3,3,23.2,3.0,1,17%,4.0,2,1:08,7.5,3,84,8.1,3,49,3.5,2,69,6.9,3,669.42,6.9,3,73,7.0,3,16,2.5,1,525.6,3.2,1,0.2,0.3,1,1.0,2.3,1,2.7,2.0,1,43.4,5.5,2,-2.10%,1.9,1,4.3,2.9,1,60%,2.7,1,24%,5.0,2,3.5,3.2,1,-24.91,2.4,1,-26.1,1.6,1,16.54,4.9,2,23,1.3,1,36,5.1,2,52,6.7,3,5.56,3.2,1,21,9.1,3,7.7,4.2,2,32.0,1.5,1,,,,26.6,3.8,2,330.0,3.8,2,,,,6.7,5.2,2,69.4,2.4,1,1.5,6.4,2
Anykščių r. sav.,10.8,4.3,2,41.6,3.3,1,81.6,8.0,3,19.1,7.2,3,1.05,7.4,3,28.2,3.9,2,0%,0.0,1,1:23,6.8,3,51,4.3,2,49,3.5,2,79,7.9,3,251.76,9.0,3,38,3.0,1,12,1.8,1,480.0,1.2,1,0.3,0.5,1,0.4,0.3,1,1.6,0.6,1,40.0,4.0,2,-1.70%,2.8,1,3.9,2.4,1,59%,1.8,1,29%,1.4,1,3.1,2.4,1,-20.55,3.8,2,-30,0.9,1,30.61,0.6,1,28,2.4,1,33,4.6,2,54,6.9,3,5.2,2.7,1,20,9.4,3,6.1,3.0,1,30.0,1.4,1,,,,12.5,1.7,1,317.0,3.6,2,,,,2.2,1.7,1,71.2,3.5,2,1.7,5.8,2
Ignalinos r. sav.,15.4,0.0,1,53.9,1.1,1,54.1,8.8,3,19.8,6.5,2,0.37,9.3,3,35.7,5.4,2,22%,5.2,2,1:42,6.0,2,70,6.5,2,62,5.2,2,80,8.0,3,177.25,9.3,3,52,4.6,2,15,2.4,1,495.0,1.9,1,0.3,0.5,1,0.3,0.0,1,1.2,0.1,1,38.6,3.5,2,-1.20%,3.8,2,3.1,1.2,1,57%,0.0,1,31%,0.0,1,2.5,1.2,1,-17.71,4.7,2,-35,0.0,1,24.57,2.5,1,26,2.0,1,36,5.1,2,42,5.4,2,7.88,6.7,3,28,6.6,2,4,1.3,1,76.0,3.5,2,,,,3.0,0.3,1,85.0,1.0,1,,,,1.3,1.0,1,70.8,3.3,1,2.9,2.5,1
Molėtų r. sav.,11.4,3.8,2,36.1,4.2,2,50,8.4,3,17.5,8.8,3,0.97,7.6,3,34.5,5.2,2,0%,0.0,1,1:03,7.7,3,81,7.8,3,61,5.1,2,84,8.4,3,291.15,8.8,3,45,3.8,2,12,1.8,1,467.5,0.7,1,0.1,0.2,1,0.7,1.3,1,1.7,0.8,1,41.8,4.8,2,-1.10%,4.0,2,5.8,5.1,2,60%,2.7,1,27%,2.9,1,3.6,3.4,2,-17.13,4.9,2,-29,1.1,1,23.1,2.9,1,24,1.6,1,32,4.5,2,45,5.8,2,7.67,6.4,2,19,9.8,3,7.9,4.4,2,6.0,0.3,1,,,,5.2,0.6,1,99.0,1.1,1,,,,0.0,0.0,1,73.1,4.7,2,2.1,4.7,2
Utenos r. sav.,10,5.1,2,36.4,4.2,2,93,6.7,3,17.8,8.5,3,0.74,8.3,3,40.5,6.3,2,0%,0.0,1,1:25,6.7,3,90,8.8,3,59,4.8,2,92,9.2,3,683.92,6.8,3,80,7.8,3,26,4.4,2,531.0,3.4,2,3.8,6.0,2,1.7,4.5,2,4.0,3.7,2,48.5,7.6,3,-1.60%,3.0,1,3.9,2.4,1,62%,4.5,2,25%,4.3,2,3.7,3.6,2,-19.73,4.1,2,-22,2.3,1,26.02,2.0,1,24,1.6,1,34,4.8,2,47,6.0,2,6.48,4.6,2,10,7.1,3,7,3.7,2,72.0,3.3,1,,,,61.8,9.1,3,222.0,2.5,1,,,,7.6,5.8,2,78,7.8,3,3.1,1.9,1
Visagino sav.,12.7,2.5,1,33.3,4.7,2,82.9,7.9,3,18.8,7.5,3,0.15,9.9,3,32.5,4.8,2,42%,10.0,3,3:58,0.0,1,100,10.0,3,79,7.5,3,100,10.0,3,659.78,6.9,3,100,10.0,3,57,10.0,3,616.0,7.1,3,0.4,0.6,1,1.5,3.9,2,3.4,2.9,1,41.0,4.5,2,-2.70%,0.6,1,4.9,3.8,2,65%,7.3,3,20%,7.9,3,3.6,3.4,2,n,,,n,,,76.19,0.0,1,82,10.0,3,58,8.4,3,2,0.3,1,7.93,6.8,3,1,4.0,2,3.8,1.1,1,0.0,0.0,1,,,,40.2,5.9,2,0.0,0.0,1,,,,3.7,2.8,1,74.2,5.4,2,0.4,9.4,3
Zarasų r. sav.,14,1.3,1,44.1,2.8,1,38.3,7.0,3,20.1,6.2,2,0.37,9.3,3,34.4,5.1,2,6%,1.4,1,2:04,5.0,2,70,6.5,2,69,6.1,2,84,8.4,3,152.21,9.5,3,48,4.2,2,19,3.1,1,462.7,0.5,1,0.1,0.2,1,0.3,0.0,1,1.4,0.4,1,33.1,1.2,1,-1.40%,3.4,2,3.5,1.8,1,59%,1.8,1,28%,2.1,1,2.8,1.8,1,-22.09,3.3,1,-30.6,0.8,1,32.6,0.0,1,22,1.1,1,38,5.4,2,36,4.6,2,8.24,7.2,3,29,6.3,2,6.9,3.6,2,34.0,1.6,1,,,,3.5,0.4,1,120.0,1.4,1,,,,1.6,1.2,1,73.6,5.0,2,1.8,5.6,2
Elektrėnų sav.,4.8,10.0,3,21.4,6.8,3,178,0.0,1,12.5,6.2,2,0.94,7.7,3,15.5,1.4,1,36%,8.6,3,0:36,8.9,3,n,,,60,4.9,2,31,3.1,1,2487.67,0.0,1,n,,,27,4.5,2,588.0,5.9,2,4.0,6.3,2,2.7,7.7,3,6.8,7.2,3,51.8,9.0,3,-0.40%,5.5,2,5.6,4.9,2,63%,5.5,2,22%,6.4,2,2.8,1.8,1,-17.59,4.8,2,-16,3.4,2,19.76,3.9,2,30,2.9,1,33,4.6,2,46,5.9,2,6.48,4.6,2,13,8.1,3,4.8,1.9,1,5.0,0.2,1,,,,19.3,2.7,1,3.0,0.0,1,,,,0.3,0.2,1,81.6,10.0,3,3.8,0.0,1
Šalčininkų r. sav.,10.7,4.4,2,25.2,6.2,2,54.1,8.8,3,20.1,6.2,2,0.59,8.7,3,30.0,4.3,2,0%,0.0,1,0:44,8.5,3,93,9.2,3,57,4.5,2,69,6.9,3,92.36,9.8,3,91,9.0,3,7,0.9,1,451.0,0.0,1,0.0,0.0,1,0.3,0.0,1,1.1,0.0,1,38.7,3.5,2,-1.10%,4.0,2,4.3,2.9,1,63%,5.5,2,20%,7.9,3,2.3,0.8,1,-4.87,9.0,3,-23,2.2,1,8.28,7.5,3,29,2.7,1,48,6.9,3,43,5.5,2,4.78,2.1,1,20,9.4,3,5.3,2.3,1,25.0,1.1,1,,,,5.6,0.7,1,73.0,0.8,1,,,,0.8,0.6,1,69,2.1,1,0.6,8.9,3
Širvintų r. sav.,8,7.0,3,16.1,7.8,3,44.1,7.7,3,17.8,8.5,3,1,7.6,3,39.2,6.1,2,0%,0.0,1,0:44,8.5,3,78,7.4,3,50,3.6,2,48,4.8,2,201.62,9.2,3,55,4.9,2,15,2.4,1,478.0,1.2,1,0.1,0.2,1,0.6,1.0,1,1.7,0.8,1,37.9,3.2,1,-0.60%,5.1,2,5.2,4.3,2,62%,4.5,2,24%,5.0,2,2.7,1.6,1,-19.43,4.2,2,-21,2.5,1,25.21,2.3,1,17,0.0,1,33,4.6,2,53,6.8,3,4.66,1.9,1,5,5.4,2,7.2,3.8,2,83.0,3.8,2,,,,11.3,1.6,1,164.0,1.9,1,,,,0.0,0.0,1,72.9,4.6,2,2,5.0,2
Švenčionių r. sav.,9.3,5.8,2,24.5,6.3,2,56.6,9.1,3,16,9.7,3,0.36,9.3,3,24.0,3.1,1,22%,5.2,2,1:22,6.9,3,93,9.2,3,74,6.8,3,86,8.6,3,541.3,7.5,3,91,9.0,3,11,1.6,1,499.5,2.1,1,2.6,4.1,2,0.9,1.9,1,2.4,1.6,1,42.5,5.1,2,-1.30%,3.6,2,4.6,3.4,2,61%,3.6,2,26%,3.6,2,2.2,0.6,1,-19.12,4.3,2,-30.7,0.8,1,27.41,1.6,1,23,1.3,1,61,8.8,3,26,3.3,2,6.56,4.7,2,39,2.8,1,6.2,3.0,1,50.0,2.3,1,,,,15.4,2.2,1,350.0,4.0,2,,,,2.1,1.6,1,76,6.5,2,1,7.8,3
