SAV,APSKRITIS,16EK,16SO_EK,16SO,16SO_AP,16AP,16EK_AP,16VID,26EK,26SO_EK,26SO,26SO_AP,26AP,26EK_AP,26VID,NL16,NL16SR,NL16RI,IBD16,IBD16SR,IBD16RI,LLS16,LLS16SR,LLS16RI,MPM16,MPM16SR,MPM16RI,EIS16,EIS16SR,EIS16RI,VTP16,VTP16SR,VTP16RI,KGP16,KGP16SR,KGP16RI,OUP16,OUP16SR,OUP16RI,GVT16,GVT16SR,GVT16RI,NZP16,NZP16SR,NZP16RI,VTD16,VTD16SR,VTD16RI,OIT16,OIT16SR,OIT16RI,VBN16,VBN16SR,VBN16RI,CTS16,CTS16SR,CTS16RI,NDU16,NDU16SR,NDU16RI,TUI16,TUI16SR,TUI16RI,MIG16,MIG16SR,MIG16RI,PVG16,PVG16SR,PVG16RI,UGD16,UGD16SR,UGD16RI,NM16,NM16SR,NM16RI,SLD16,SLD16SR,SLD16RI,DAG16,DAG16SR,DAG16RI,PAG16,PAG16SR,PAG16RI,USS16,USS16SR,USS16RI,GSM16,GSM16SR,GSM16RI,GSK16,GSK16SR,GSK16RI,KGD16,KGD16SR,KGD16RI,KPD16,KPD16SR,KPD16RI,M16,M16SR,M16RI,ZNP16,ZNP16SR,ZNP16RI,RIP16,RIP16SR,RIP16RI,STP16,STP16SR,STP16RI,KPO16,KPO16SR,KPO16RI,NII16,NII16SR,NII16SI,INI16,INI16SR,INI16RI,PVI16,PVI16SR,PVI16RI,KNI16,KNI16SR,KNI16RI,NG16,NG16SR,NG16RI,PVA16,PVA16SR,PVA16RI,MMA16,MMA16SR,MMA16RI,EDD16,EDD16SR,EDD16RI
Kalvarijos sav.,Marijampolės,1.30,1.50,2.00,1.50,1.60,1.67,1.59,1.40,1.50,1.93,1.50,1.60,1.67,1.60,14.60,0.80,1.00,34.50,4.50,2.00,36.10,6.80,3.00,11.50,5.10,2.00,0.63,8.60,3.00,25.80,3.50,2.00,1.00,0.20,1.00,0.05,7.10,3.00,,,,29.00,0.80,1.00,65.00,6.50,2.00,185.19,9.30,3.00,,,,,,,455.00,0.20,1.00,0.00,0.00,1.00,0.60,1.00,1.00,1.50,0.50,1.00,37.10,2.80,1.00,-0.02,2.60,1.00,4.00,2.50,1.00,61.00,3.60,2.00,21.00,7.10,3.00,1.90,0.00,1.00,-16.99,5.00,2.00,-19.00,2.90,1.00,11.38,6.50,2.00,29.00,2.70,1.00,14.00,1.80,1.00,73.00,9.40,3.00,3.91,0.80,1.00,47.00,0.00,1.00,5.20,2.20,1.00,36.00,1.60,1.00,,,,1.80,0.10,1.00,111.00,1.30,1.00,,,,0.90,0.70,1.00,72.30,4.20,2.00,1.30,6.90,3.00
Kazlų Rūdos sav.,Marijampolės,1.70,1.77,1.80,1.40,1.58,1.75,1.67,1.80,1.77,1.87,1.40,1.58,1.75,1.69,11.40,3.80,2.00,37.90,3.90,2.00,33.00,6.40,2.00,26.20,0.00,1.00,0.90,7.80,3.00,14.00,1.20,1.00,38.00,9.00,3.00,0.03,8.30,3.00,63.00,5.70,2.00,69.00,6.10,2.00,62.00,6.20,2.00,729.74,6.60,2.00,65.00,6.10,2.00,16.00,2.50,1.00,573.00,5.20,2.00,7.40,10.00,3.00,1.10,2.60,1.00,4.90,4.80,2.00,42.00,4.90,2.00,-0.02,2.80,1.00,5.30,4.40,2.00,60.00,2.70,1.00,23.00,5.70,2.00,3.30,2.80,1.00,-16.81,5.00,2.00,-17.00,3.20,1.00,12.22,6.30,2.00,23.00,1.30,1.00,60.00,8.70,3.00,30.00,3.80,2.00,4.93,2.30,1.00,4.00,5.00,2.00,2.40,0.00,1.00,2.00,0.10,1.00,,,,1.90,0.10,1.00,0.00,0.00,1.00,,,,1.50,1.20,1.00,74.70,5.70,2.00,2.10,4.70,2.00
Marijampolės sav.,Marijampolės,1.80,2.23,2.70,2.20,1.75,2.00,2.01,1.90,2.31,2.20,2.20,1.75,2.00,2.60,8.00,7.00,3.00,27.90,5.70,2.00,73.70,8.90,3.00,12.80,6.50,2.00,0.80,8.10,3.00,36.20,5.50,2.00,27.00,6.40,2.00,0.04,7.80,3.00,87.00,8.50,3.00,24.00,0.10,1.00,52.00,5.20,2.00,931.34,5.60,2.00,79.00,7.60,3.00,22.00,3.60,2.00,518.00,2.90,1.00,0.40,0.60,1.00,1.90,5.20,2.00,4.00,3.70,2.00,,10.00,3.00,-0.02,1.90,1.00,5.60,4.90,2.00,63.00,5.50,2.00,21.00,7.10,3.00,4.30,4.80,2.00,-22.76,3.10,1.00,-12.00,4.10,2.00,13.12,6.00,2.00,35.00,4.00,2.00,15.00,1.90,1.00,71.00,9.10,3.00,4.42,1.50,1.00,15.00,8.80,3.00,8.00,4.50,2.00,0.00,0.00,1.00,,,,30.10,4.40,2.00,0.00,0.00,1.00,,,,5.00,3.80,2.00,76.10,6.60,2.00,0.40,9.40,3.00
Šakių r. sav.,Marijampolės,1.30,1.46,1.87,1.80,1.42,1.50,1.56,1.40,1.46,1.80,1.60,1.25,1.50,1.50,9.60,5.50,2.00,53.80,1.10,1.00,43.20,7.60,3.00,16.70,9.60,3.00,0.82,8.10,3.00,8.10,0.00,1.00,2.00,0.50,1.00,0.04,7.70,3.00,71.00,6.60,2.00,30.00,0.90,1.00,7.00,0.70,1.00,222.63,9.10,3.00,43.00,3.60,2.00,6.00,0.70,1.00,487.00,1.50,1.00,0.50,0.80,1.00,0.90,1.90,1.00,1.50,0.50,1.00,39.10,3.70,2.00,-0.02,2.80,1.00,3.30,1.50,1.00,61.00,3.60,2.00,24.00,5.00,2.00,2.70,1.60,1.00,-18.20,4.60,2.00,-25.00,1.80,1.00,15.94,5.10,2.00,30.00,2.90,1.00,23.00,3.10,1.00,68.00,8.70,3.00,4.39,1.50,1.00,5.00,5.40,2.00,4.80,1.90,1.00,25.00,1.10,1.00,,,,15.30,2.10,1.00,0.00,0.00,1.00,,,,3.60,2.80,1.00,73.40,4.90,2.00,1.60,6.10,2.00
Vilkaviškio r. sav.,Marijampolės,1.20,1.69,1.93,1.80,1.50,1.50,1.60,1.30,1.77,1.87,1.80,1.50,1.50,1.62,10.00,5.10,2.00,38.70,3.80,2.00,46.20,7.90,3.00,15.00,8.70,3.00,0.55,8.80,3.00,31.40,4.60,2.00,23.00,5.50,2.00,0.05,7.00,3.00,66.00,6.00,2.00,23.00,0.00,1.00,35.00,3.50,2.00,190.33,9.30,3.00,49.00,4.30,2.00,10.00,1.50,1.00,466.10,0.60,1.00,0.10,0.20,1.00,0.50,0.60,1.00,1.50,0.50,1.00,37.30,2.90,1.00,-0.02,1.50,1.00,4.00,2.50,1.00,60.00,2.70,1.00,24.00,5.00,2.00,2.20,0.60,1.00,-22.09,3.30,1.00,-24.00,2.00,1.00,18.21,4.40,2.00,34.00,3.80,2.00,11.00,1.30,1.00,78.00,10.00,3.00,4.29,1.30,1.00,9.00,6.80,3.00,7.00,3.70,2.00,21.00,1.00,1.00,,,,28.50,4.10,2.00,182.00,2.10,1.00,,,,3.00,2.30,1.00,68.90,2.10,1.00,1.20,7.20,3.00
Biržų r. sav.,Panevėžio,1.20,1.31,1.73,1.40,1.75,1.75,1.52,1.20,1.31,1.73,1.40,1.75,1.75,1.52,8.90,6.10,2.00,37.80,3.90,2.00,59.20,9.40,3.00,22.30,3.90,2.00,3.73,0.00,1.00,34.50,5.20,2.00,0.00,0.00,1.00,0.10,4.30,2.00,35.00,2.40,1.00,36.00,1.70,1.00,32.00,3.20,1.00,225.97,9.10,3.00,40.00,3.30,1.00,10.00,1.50,1.00,490.80,1.70,1.00,0.50,0.80,1.00,0.50,0.60,1.00,1.80,0.90,1.00,45.20,6.20,2.00,-0.02,2.30,1.00,4.80,3.70,2.00,59.00,1.80,1.00,28.00,2.10,1.00,2.80,1.80,1.00,-26.04,2.00,1.00,-30.20,0.90,1.00,31.36,0.40,1.00,24.00,1.60,1.00,27.00,3.70,2.00,63.00,8.10,3.00,4.46,1.60,1.00,22.00,8.70,3.00,5.60,2.60,1.00,20.00,0.90,1.00,,,,21.70,3.10,1.00,125.00,1.40,1.00,,,,2.90,2.20,1.00,70.70,3.20,1.00,0.40,9.40,3.00
Kupiškio r. sav.,Panevėžio,1.20,1.54,1.60,1.80,1.42,1.50,1.51,1.00,1.38,1.47,1.80,1.50,1.75,1.48,12.40,2.80,1.00,34.10,4.60,2.00,45.30,7.80,3.00,20.30,6.00,2.00,1.00,7.60,3.00,34.20,5.10,2.00,7.00,1.70,1.00,0.08,5.20,2.00,72.00,6.70,3.00,41.00,2.40,1.00,29.00,2.90,1.00,322.89,8.60,3.00,61.00,5.60,2.00,19.00,3.10,1.00,465.00,0.60,1.00,0.20,0.30,1.00,0.50,0.60,1.00,1.90,1.00,1.00,36.20,2.50,1.00,-0.02,2.10,1.00,3.60,1.90,1.00,59.00,1.80,1.00,27.00,2.90,1.00,2.70,1.60,1.00,-22.04,3.30,1.00,-29.00,1.10,1.00,25.89,2.10,1.00,28.00,2.40,1.00,30.00,4.20,2.00,58.00,7.40,3.00,4.40,1.50,1.00,10.00,7.10,3.00,6.90,3.60,2.00,54.00,2.50,1.00,,,,9.00,1.20,1.00,293.00,3.30,2.00,,,,1.20,0.90,1.00,71.10,3.40,2.00,0.70,8.60,3.00
Panevėžio m. sav.,Panevėžio,2.20,2.54,1.86,2.20,1.55,1.75,2.02,2.00,2.54,1.93,2.20,1.73,2.25,2.11,7.40,7.50,3.00,30.70,5.20,2.00,18.70,4.80,2.00,11.90,5.60,2.00,1.54,6.10,2.00,92.00,10.00,3.00,100.00,10.00,3.00,0.06,6.60,2.00,97.00,9.70,3.00,27.00,0.50,1.00,8.00,0.80,1.00,2049.04,0.00,1.00,97.00,9.70,3.00,32.00,5.50,2.00,566.00,4.90,2.00,2.80,4.40,2.00,1.40,3.50,2.00,5.60,5.70,2.00,51.00,8.60,3.00,-0.02,1.50,1.00,4.50,3.20,1.00,61.00,3.60,2.00,24.00,5.00,2.00,6.10,8.40,3.00,-21.84,3.40,2.00,,,,,,,60.00,9.60,3.00,2.00,0.00,1.00,30.00,3.80,2.00,3.40,0.00,1.00,1.00,4.00,2.00,91.20,10.00,3.00,0.00,0.00,1.00,,,,67.90,10.00,3.00,0.00,0.00,1.00,,,,18.50,10.00,3.00,77.70,7.60,3.00,,,
Panevėžio r. sav.,Panevėžio,1.60,1.92,1.80,2.50,2.10,2.67,2.10,1.80,2.00,1.80,2.25,1.80,2.00,1.94,8.60,6.40,2.00,33.70,4.70,2.00,131.00,2.40,1.00,20.00,6.30,2.00,1.53,6.10,2.00,28.90,4.10,2.00,16.00,3.80,2.00,0.06,6.60,2.00,97.00,9.70,3.00,42.00,2.50,1.00,4.00,0.40,1.00,322.60,8.60,3.00,97.00,9.70,3.00,,,,496.00,1.90,1.00,1.20,1.90,1.00,0.80,1.60,1.00,2.80,2.20,1.00,45.00,6.10,2.00,0.00,6.00,2.00,7.30,7.40,3.00,62.00,4.50,2.00,23.00,5.70,2.00,3.70,3.60,2.00,-15.06,5.60,2.00,-14.00,3.80,2.00,24.19,2.60,1.00,30.00,2.90,1.00,35.00,4.90,2.00,56.00,7.20,3.00,4.62,1.80,1.00,20.00,9.40,3.00,3.90,1.20,1.00,9.00,0.40,1.00,,,,47.70,7.00,3.00,248.00,2.80,1.00,,,,2.40,1.80,1.00,75.60,6.30,2.00,0.20,10.00,3.00
Pasvalio r. sav.,Panevėžio,1.20,1.54,1.60,1.80,1.25,1.50,1.48,1.50,1.69,1.67,1.80,1.25,1.50,1.57,12.10,3.10,1.00,39.00,3.70,2.00,65.30,9.90,3.00,16.10,9.80,3.00,1.11,7.30,3.00,33.10,4.90,2.00,0.00,0.00,1.00,0.08,5.20,2.00,95.00,9.40,3.00,23.00,0.00,1.00,5.00,0.50,1.00,456.21,7.90,3.00,67.00,6.30,2.00,11.00,1.60,1.00,488.00,1.60,1.00,0.30,0.50,1.00,0.80,1.60,1.00,1.70,0.80,1.00,35.90,2.30,1.00,-0.03,1.10,1.00,3.60,1.90,1.00,60.00,2.70,1.00,25.00,4.30,2.00,2.40,1.00,1.00,-20.56,3.80,2.00,-29.20,1.00,1.00,23.26,2.90,1.00,29.00,2.70,1.00,17.00,2.20,1.00,75.00,9.60,3.00,4.15,1.10,1.00,7.00,6.10,2.00,5.30,2.30,1.00,6.00,0.30,1.00,,,,12.00,1.70,1.00,0.00,0.00,1.00,,,,4.50,3.50,2.00,72.20,4.10,2.00,0.60,8.90,3.00
Rokiškio r. sav.,Panevėžio,1.30,1.69,1.67,1.80,1.50,1.50,1.58,1.60,1.69,1.73,1.80,1.58,1.75,1.69,11.30,3.90,2.00,46.90,2.30,1.00,192.00,0.00,1.00,16.40,9.90,3.00,1.03,7.50,3.00,32.00,4.70,2.00,11.00,2.60,1.00,0.09,4.70,2.00,72.00,6.70,3.00,47.00,3.20,1.00,57.00,5.70,2.00,713.23,6.70,3.00,59.00,5.40,2.00,17.00,2.70,1.00,507.00,2.40,1.00,0.50,0.80,1.00,0.90,1.90,1.00,2.70,2.00,1.00,34.70,1.80,1.00,-0.02,2.30,1.00,3.10,1.20,1.00,60.00,2.70,1.00,27.00,2.90,1.00,2.90,2.00,1.00,-29.85,0.70,1.00,-22.00,2.30,1.00,27.39,1.60,1.00,41.00,5.30,2.00,29.00,4.00,2.00,55.00,7.10,3.00,5.27,2.80,1.00,6.00,5.70,2.00,4.60,1.80,1.00,103.00,4.70,2.00,,,,8.60,1.10,1.00,271.00,3.10,1.00,,,,5.40,4.20,2.00,76.70,6.90,3.00,1.00,7.80,3.00
Akmenės r. sav.,Šiaulių,1.60,1.73,1.93,1.33,1.50,1.25,1.56,1.80,1.73,1.93,1.33,1.50,1.25,1.59,13.60,1.70,1.00,40.50,3.50,2.00,37.10,6.90,3.00,14.50,8.20,3.00,0.40,9.20,3.00,25.60,3.40,2.00,18.00,4.30,2.00,0.08,5.70,2.00,,,,41.00,2.40,1.00,45.00,4.50,2.00,4910.17,0.00,1.00,,,,26.00,4.40,2.00,544.00,4.00,2.00,3.90,6.20,2.00,1.80,4.80,2.00,2.90,2.30,1.00,30.30,0.00,1.00,-0.02,1.70,1.00,3.60,1.90,1.00,59.00,1.80,1.00,6.00,10.00,3.00,2.60,1.40,1.00,-32.01,0.00,1.00,-30.00,0.90,1.00,26.99,1.70,1.00,31.00,3.10,1.00,33.00,4.60,2.00,57.00,7.30,3.00,3.73,0.50,1.00,15.00,8.80,3.00,4.80,1.90,1.00,316.00,10.00,3.00,,,,13.80,1.90,1.00,878.00,10.00,3.00,,,,1.60,1.20,1.00,76.80,7.00,3.00,0.70,8.60,3.00
Joniškio r. sav.,Šiaulių,1.30,1.46,1.93,1.80,1.64,1.75,1.65,1.40,1.54,1.79,1.60,1.36,1.50,1.53,11.20,4.00,2.00,47.80,2.20,1.00,52.10,8.60,3.00,15.40,9.10,3.00,0.50,8.90,3.00,29.30,4.10,2.00,0.00,0.00,1.00,0.10,4.00,2.00,71.00,6.60,2.00,24.00,0.10,1.00,0.00,0.00,1.00,198.17,9.20,3.00,59.00,5.40,2.00,11.00,1.60,1.00,486.20,1.50,1.00,0.10,0.20,1.00,0.70,1.30,1.00,1.70,0.80,1.00,36.70,2.70,1.00,-0.02,1.70,1.00,4.80,3.70,2.00,61.00,3.60,2.00,25.00,4.30,2.00,3.00,2.20,1.00,-23.14,2.90,1.00,-31.00,0.70,1.00,24.91,2.40,1.00,26.00,2.00,1.00,20.00,2.70,1.00,73.00,9.40,3.00,4.05,1.00,1.00,11.00,7.40,3.00,5.10,2.20,1.00,63.00,2.90,1.00,,,,7.60,1.00,1.00,243.00,2.80,1.00,,,,1.50,1.20,1.00,72.80,4.50,2.00,0.30,9.70,3.00
Kelmės r. sav.,Šiaulių,1.10,1.46,1.87,2.00,1.67,1.50,1.60,1.10,1.46,1.73,1.80,1.50,1.50,1.52,13.50,1.80,1.00,49.20,1.90,1.00,68.50,9.50,3.00,15.90,9.60,3.00,1.30,6.70,3.00,31.60,4.60,2.00,0.00,0.00,1.00,0.06,6.50,2.00,73.00,6.90,3.00,44.00,2.80,1.00,80.00,8.00,3.00,206.11,9.20,3.00,49.00,4.30,2.00,9.00,1.30,1.00,469.70,0.80,1.00,0.00,0.00,1.00,0.40,0.30,1.00,1.50,0.50,1.00,41.50,4.70,2.00,-0.02,1.50,1.00,2.30,0.00,1.00,60.00,2.70,1.00,26.00,3.60,2.00,2.70,1.60,1.00,-23.45,2.80,1.00,-33.00,0.40,1.00,25.63,2.10,1.00,20.00,0.70,1.00,33.00,4.60,2.00,57.00,7.30,3.00,4.44,1.50,1.00,14.00,8.50,3.00,6.20,3.00,1.00,86.00,3.90,2.00,,,,3.50,0.40,1.00,142.00,1.60,1.00,,,,2.20,1.70,1.00,74.80,5.80,2.00,1.70,5.80,2.00
Pakruojo r. sav.,Šiaulių,1.20,1.62,1.86,2.00,1.55,1.50,1.62,1.40,1.62,1.71,1.80,1.45,1.50,1.58,8.90,6.10,2.00,36.10,4.20,2.00,43.30,7.60,3.00,20.30,6.00,2.00,0.70,8.40,3.00,30.10,4.30,2.00,0.00,0.00,1.00,0.08,5.20,2.00,76.00,7.20,3.00,27.00,0.50,1.00,0.00,0.00,1.00,190.42,9.30,3.00,62.00,5.70,2.00,10.00,1.50,1.00,506.80,2.40,1.00,1.90,3.00,1.00,0.90,1.90,1.00,2.00,1.10,1.00,36.30,2.50,1.00,-0.03,1.10,1.00,3.80,2.20,1.00,60.00,2.70,1.00,24.00,5.00,2.00,3.00,2.20,1.00,-21.42,3.50,2.00,-32.00,0.50,1.00,24.29,2.50,1.00,33.00,3.60,2.00,20.00,2.70,1.00,72.00,9.20,3.00,4.26,1.30,1.00,12.00,7.80,3.00,6.90,3.60,2.00,98.00,4.50,2.00,,,,3.50,0.40,1.00,1284.00,10.00,3.00,,,,1.40,1.10,1.00,69.80,2.60,1.00,0.40,9.40,3.00
Radviliškio r. sav.,Šiaulių,1.30,1.85,1.87,2.00,1.50,1.75,1.71,1.50,1.85,1.80,2.00,1.50,1.75,1.73,10.70,4.40,2.00,39.60,3.60,2.00,36.60,6.90,3.00,15.40,9.10,3.00,1.00,7.60,3.00,25.90,3.50,2.00,28.00,6.70,3.00,0.07,6.00,2.00,77.00,7.30,3.00,33.00,1.30,1.00,25.00,2.50,1.00,677.12,6.80,3.00,72.00,6.90,3.00,18.00,2.90,1.00,468.80,0.80,1.00,0.40,0.60,1.00,0.80,1.60,1.00,2.50,1.80,1.00,42.60,5.10,2.00,-0.02,1.70,1.00,5.00,4.00,2.00,60.00,2.70,1.00,24.00,5.00,2.00,2.70,1.60,1.00,-22.16,3.30,1.00,-31.00,0.70,1.00,22.22,3.20,1.00,24.00,1.60,1.00,26.00,3.60,2.00,65.00,8.30,3.00,4.73,2.00,1.00,10.00,7.10,3.00,4.90,2.00,1.00,170.00,7.80,3.00,,,,12.30,1.70,1.00,263.00,3.00,1.00,,,,2.60,2.00,1.00,73.40,4.90,2.00,0.30,9.70,3.00
Šiaulių m. sav.,Šiaulių,2.10,2.54,1.93,2.40,1.91,2.00,2.15,2.10,2.69,2.70,2.20,2.00,2.50,2.26,5.30,9.50,3.00,21.10,6.90,3.00,132.70,2.20,1.00,12.60,6.30,2.00,1.70,5.60,2.00,76.20,10.00,3.00,97.00,10.00,3.00,0.08,5.20,2.00,96.00,9.50,3.00,44.00,2.80,1.00,16.00,1.60,1.00,964.39,5.40,2.00,98.00,9.80,3.00,36.00,6.20,2.00,537.10,3.70,2.00,1.00,1.60,1.00,2.00,5.50,2.00,6.20,6.50,2.00,49.50,8.00,3.00,-0.02,3.20,1.00,5.40,4.60,2.00,62.00,4.50,2.00,22.00,6.40,2.00,6.10,8.40,3.00,-23.08,3.00,1.00,,,,,,,54.00,8.20,3.00,6.00,0.60,1.00,15.00,1.90,1.00,3.51,0.20,1.00,19.00,9.80,3.00,42.00,10.00,3.00,3.00,0.10,1.00,,,,102.30,10.00,3.00,0.00,0.00,1.00,,,,13.00,10.00,3.00,75.30,6.10,2.00,,,
Šiaulių r. sav.,Šiaulių,1.70,1.77,2.13,1.60,2.00,2.50,1.95,1.70,1.69,2.00,1.40,1.83,2.25,1.81,7.90,7.10,3.00,29.80,5.30,2.00,28.00,5.90,2.00,16.80,9.50,3.00,1.30,6.70,3.00,33.10,4.90,2.00,27.00,6.40,2.00,0.08,5.20,2.00,46.00,3.70,2.00,45.00,2.90,1.00,29.00,2.90,1.00,258.89,8.90,3.00,40.00,3.30,1.00,10.00,1.50,1.00,482.60,1.40,1.00,0.50,0.80,1.00,1.10,2.60,1.00,2.30,1.50,1.00,46.70,6.80,3.00,0.00,7.20,3.00,11.50,10.00,3.00,62.00,4.50,2.00,23.00,5.70,2.00,3.40,3.00,1.00,-20.90,3.70,2.00,-19.00,2.90,1.00,16.53,4.90,2.00,24.00,1.60,1.00,35.00,4.90,2.00,55.00,7.10,3.00,5.22,2.70,1.00,17.00,9.50,3.00,7.50,4.10,2.00,55.00,2.50,1.00,,,,8.90,1.20,1.00,434.00,4.90,2.00,,,,3.00,2.30,1.00,71.40,3.60,2.00,0.40,9.40,3.00
Jurbarko r. sav.,Tauragės,1.00,1.31,1.93,1.80,1.58,1.50,1.52,1.20,1.38,2.00,1.80,1.67,1.75,1.63,13.40,1.90,1.00,42.40,3.10,1.00,66.00,9.80,3.00,18.50,7.80,3.00,0.80,8.10,3.00,17.60,1.90,1.00,0.00,0.00,1.00,0.06,6.70,3.00,66.00,6.00,2.00,45.00,2.90,1.00,35.00,3.50,2.00,125.44,9.60,3.00,51.00,4.50,2.00,12.00,1.80,1.00,480.00,1.20,1.00,0.00,0.00,1.00,0.80,1.60,1.00,2.10,1.30,1.00,43.50,5.50,2.00,-0.02,2.10,1.00,4.50,3.20,1.00,60.00,2.70,1.00,25.00,4.30,2.00,2.90,2.00,1.00,-23.24,2.90,1.00,-29.00,1.10,1.00,12.10,6.30,2.00,26.00,2.00,1.00,38.00,5.40,2.00,54.00,6.90,3.00,4.72,2.00,1.00,21.00,9.10,3.00,4.60,1.80,1.00,48.00,2.20,1.00,,,,10.30,1.40,1.00,157.00,1.80,1.00,,,,2.30,1.80,1.00,69.10,2.20,1.00,1.50,6.40,2.00
Pagėgių sav.,Tauragės,1.40,1.33,2.00,2.00,1.90,2.00,1.77,1.50,1.42,2.00,1.75,1.60,1.67,1.66,10.00,5.10,2.00,52.80,1.30,1.00,19.80,4.90,2.00,22.80,3.40,2.00,1.00,7.60,3.00,20.20,2.40,1.00,0.00,0.00,1.00,0.07,6.10,2.00,64.00,5.80,2.00,35.00,1.60,1.00,55.00,5.50,2.00,43.93,10.00,3.00,38.00,3.00,1.00,,,,538.20,3.70,2.00,0.00,0.00,1.00,1.60,4.20,2.00,1.10,0.00,1.00,42.80,5.20,2.00,-0.03,0.00,1.00,5.30,4.40,2.00,62.00,4.50,2.00,21.00,7.10,3.00,3.00,2.20,1.00,-25.46,2.20,1.00,-32.70,0.40,1.00,11.54,6.50,2.00,20.00,0.70,1.00,17.00,2.20,1.00,71.00,9.10,3.00,6.79,5.10,2.00,19.00,9.80,3.00,5.30,2.30,1.00,33.00,1.50,1.00,,,,2.50,0.20,1.00,2.00,0.00,1.00,,,,2.00,1.50,1.00,65.60,0.00,1.00,0.80,8.30,3.00
Šilalės r. sav.,Tauragės,1.40,1.62,2.27,2.00,1.75,1.75,1.80,1.50,1.62,2.20,2.00,1.67,1.50,1.75,7.50,7.50,3.00,25.90,6.00,2.00,49.20,8.30,3.00,15.70,9.40,3.00,1.20,7.00,3.00,22.80,2.90,1.00,0.00,0.00,1.00,0.05,7.30,3.00,85.00,8.30,3.00,38.00,2.00,1.00,70.00,7.00,3.00,67.03,9.90,3.00,53.00,4.70,2.00,10.00,1.50,1.00,492.00,1.80,1.00,0.00,0.00,1.00,0.40,0.30,1.00,1.60,0.60,1.00,51.20,8.70,3.00,-0.02,1.90,1.00,4.90,3.80,2.00,62.00,4.50,2.00,21.00,7.10,3.00,2.80,1.80,1.00,-14.07,6.00,2.00,-25.00,1.80,1.00,10.61,6.70,3.00,19.00,0.40,1.00,29.00,4.00,2.00,60.00,7.70,3.00,4.44,1.50,1.00,13.00,8.10,3.00,7.50,4.10,2.00,10.00,0.50,1.00,,,,3.80,0.40,1.00,25.00,0.30,1.00,,,,1.70,1.30,1.00,66.70,0.70,1.00,2.30,4.20,2.00
Tauragės r. sav.,Tauragės,1.30,1.46,2.00,1.80,2.00,1.75,1.72,1.70,1.62,2.00,1.60,1.92,1.75,1.76,10.80,4.30,2.00,42.00,3.20,1.00,68.40,9.50,3.00,12.70,6.40,2.00,0.90,7.80,3.00,32.70,4.80,2.00,0.00,0.00,1.00,0.07,6.20,2.00,67.00,6.20,2.00,48.00,3.30,2.00,78.00,7.80,3.00,367.79,8.40,3.00,61.00,5.60,2.00,12.00,1.80,1.00,494.00,1.80,1.00,0.70,1.10,1.00,1.00,2.30,1.00,2.90,2.30,1.00,44.10,5.80,2.00,-0.02,2.80,1.00,4.80,3.70,2.00,62.00,4.50,2.00,23.00,5.70,2.00,4.20,4.60,2.00,-21.19,3.60,2.00,-25.00,1.80,1.00,15.82,5.10,2.00,20.00,0.70,1.00,39.00,5.50,2.00,50.00,6.40,2.00,4.71,2.00,1.00,24.00,8.00,3.00,4.90,2.00,1.00,41.00,1.90,1.00,,,,24.40,3.50,2.00,,,,,,,3.50,2.70,1.00,67.50,1.20,1.00,1.80,5.60,2.00
Mažeikių r. sav.,Telšių,2.10,1.92,2.00,2.00,1.42,1.50,1.82,2.20,2.00,2.00,2.00,1.50,1.50,1.87,11.00,4.20,2.00,48.80,2.00,1.00,43.80,7.70,3.00,14.00,7.70,3.00,1.00,7.60,3.00,33.80,5.00,2.00,13.00,3.10,1.00,0.06,6.50,2.00,83.00,8.00,3.00,37.00,1.90,1.00,65.00,6.50,2.00,24674.74,0.00,1.00,78.00,7.50,3.00,27.00,4.50,2.00,576.60,5.40,2.00,6.30,10.00,3.00,1.40,3.50,2.00,8.30,9.10,3.00,46.90,6.90,3.00,-0.02,1.30,1.00,4.50,3.20,1.00,63.00,5.50,2.00,19.00,8.60,3.00,4.10,4.40,2.00,-18.06,4.60,2.00,-20.00,2.70,1.00,9.24,7.20,3.00,28.00,2.40,1.00,30.00,4.20,2.00,60.00,7.70,3.00,4.00,0.90,1.00,9.00,6.80,3.00,7.10,3.80,2.00,30.00,1.40,1.00,,,,21.50,3.10,1.00,205.00,2.30,1.00,,,,6.40,4.90,2.00,76.40,6.80,3.00,1.60,6.10,2.00
Plungės r. sav.,Telšių,1.60,1.92,2.33,2.00,1.92,1.75,1.92,1.80,1.92,2.33,2.00,1.92,1.75,1.95,7.10,7.80,3.00,28.60,5.60,2.00,53.00,8.70,3.00,14.00,7.70,3.00,0.70,8.40,3.00,31.20,4.50,2.00,22.00,5.20,2.00,0.04,8.20,3.00,86.00,8.40,3.00,49.00,3.50,2.00,83.00,8.30,3.00,745.89,6.50,2.00,76.00,7.30,3.00,17.00,2.70,1.00,494.60,1.90,1.00,0.60,1.00,1.00,0.90,1.90,1.00,3.10,2.50,1.00,42.20,5.00,2.00,-0.02,2.10,1.00,5.40,4.60,2.00,62.00,4.50,2.00,22.00,6.40,2.00,3.60,3.40,2.00,-20.66,3.80,2.00,-18.40,3.00,1.00,5.53,8.30,3.00,19.00,0.40,1.00,36.00,5.10,2.00,51.00,6.50,2.00,5.19,2.70,1.00,34.00,4.50,2.00,8.30,4.70,2.00,35.00,1.60,1.00,0.30,0.00,1.00,17.40,2.50,1.00,67.00,0.80,1.00,0.00,0.00,1.00,4.90,3.80,2.00,72.20,4.10,2.00,1.80,5.60,2.00
